ID,Configuracao,Qnt. Veiculos,Custo Individual,Custo Medio
20,lane_lane-EF;2-FG;2,100,127,397.6
31,lane_lane-EF;2-FG;2,250,1110,397.6
31,lane_lane-EF;2-FG;2,150,181,397.6
31,lane_lane-EF;2-FG;2,200,466,397.6
31,lane_lane-EF;2-FG;2,50,104,397.6
31,lane_lane-EF;2-FG;2,100,127,397.6
20,lane_lane-EF;2-FG;2,150,181,397.6
20,lane_lane-EF;2-FG;2,50,104,397.6
20,lane_lane-EF;2-FG;2,250,1110,397.6
20,lane_lane-EF;2-FG;2,200,466,397.6
8,lane_net-EF;2-GL,50,87,451.6
8,lane_net-EF;2-GL,200,468,451.6
8,lane_net-EF;2-GL,150,437,451.6
8,lane_net-EF;2-GL,250,1129,451.6
8,lane_net-EF;2-GL,100,137,451.6
25,lane_lane-FL;2-EF;2,200,464,519.2
18,lane_lane-FL;2-EF;2,50,89,519.2
2,lane_lane-FL;2-EF;2,50,89,519.2
18,lane_lane-FL;2-EF;2,100,171,519.2
25,lane_lane-FL;2-EF;2,250,1668,519.2
25,lane_lane-FL;2-EF;2,100,171,519.2
25,lane_lane-FL;2-EF;2,150,204,519.2
2,lane_lane-FL;2-EF;2,100,171,519.2
18,lane_lane-FL;2-EF;2,200,464,519.2
18,lane_lane-FL;2-EF;2,250,1668,519.2
2,lane_lane-FL;2-EF;2,200,464,519.2
2,lane_lane-FL;2-EF;2,250,1668,519.2
25,lane_lane-FL;2-EF;2,50,89,519.2
2,lane_lane-FL;2-EF;2,150,204,519.2
18,lane_lane-FL;2-EF;2,150,204,519.2
23,lane_lane-EF;2-EI;2,100,157,525.0
23,lane_lane-EF;2-EI;2,200,228,525.0
29,lane_lane-EF;2-EI;2,100,157,525.0
23,lane_lane-EF;2-EI;2,150,470,525.0
29,lane_lane-EF;2-EI;2,200,228,525.0
29,lane_lane-EF;2-EI;2,50,92,525.0
4,lane_lane-EF;2-EI;2,100,157,525.0
29,lane_lane-EF;2-EI;2,150,470,525.0
23,lane_lane-EF;2-EI;2,50,92,525.0
4,lane_lane-EF;2-EI;2,50,92,525.0
30,lane_lane-EF;2-EI;2,200,228,525.0
30,lane_lane-EF;2-EI;2,50,92,525.0
30,lane_lane-EF;2-EI;2,100,157,525.0
4,lane_lane-EF;2-EI;2,200,228,525.0
23,lane_lane-EF;2-EI;2,250,1678,525.0
29,lane_lane-EF;2-EI;2,250,1678,525.0
4,lane_lane-EF;2-EI;2,150,470,525.0
30,lane_lane-EF;2-EI;2,150,470,525.0
4,lane_lane-EF;2-EI;2,250,1678,525.0
30,lane_lane-EF;2-EI;2,250,1678,525.0
14,lane_lane-EF;2-BH;2,200,494,575.2
14,lane_lane-EF;2-BH;2,250,1954,575.2
14,lane_lane-EF;2-BH;2,100,147,575.2
14,lane_lane-EF;2-BH;2,50,89,575.2
14,lane_lane-EF;2-BH;2,150,192,575.2
28,lane_lane-EF;2-GH;2,250,1783,583.4
28,lane_lane-EF;2-GH;2,200,467,583.4
