ID,Configuracao,Qnt. Veiculos,Custo Individual,Custo Medio
74,lane_lane-KH;2-HE;2,250,1065,442.4
58,lane_lane-KH;2-HE;2,50,79,442.4
36,lane_lane-KH;2-HE;2,50,79,442.4
58,lane_lane-KH;2-HE;2,100,114,442.4
36,lane_lane-KH;2-HE;2,150,166,442.4
36,lane_lane-KH;2-HE;2,250,1065,442.4
36,lane_lane-KH;2-HE;2,200,788,442.4
36,lane_lane-KH;2-HE;2,100,114,442.4
58,lane_lane-KH;2-HE;2,200,788,442.4
74,lane_lane-KH;2-HE;2,100,114,442.4
74,lane_lane-KH;2-HE;2,200,788,442.4
74,lane_lane-KH;2-HE;2,50,79,442.4
58,lane_lane-KH;2-HE;2,250,1065,442.4
58,lane_lane-KH;2-HE;2,150,166,442.4
74,lane_lane-KH;2-HE;2,150,166,442.4
17,lane_net-KH;2-GI,50,80,457.4
17,lane_net-KH;2-GI,150,179,457.4
17,lane_net-KH;2-GI,200,779,457.4
17,lane_net-KH;2-GI,250,1135,457.4
17,lane_net-KH;2-GI,100,114,457.4
13,lane_lane-KH;2-JM;2,200,712,472.2
13,lane_lane-KH;2-JM;2,150,179,472.2
13,lane_lane-KH;2-JM;2,250,1265,472.2
13,lane_lane-KH;2-JM;2,100,124,472.2
13,lane_lane-KH;2-JM;2,50,81,472.2
33,lane_lane-KH;2-KM;2,250,1136,491.4
70,lane_lane-KH;2-KM;2,50,75,491.4
71,lane_lane-KH;2-KM;2,200,735,491.4
71,lane_lane-KH;2-KM;2,100,121,491.4
47,lane_lane-KH;2-KM;2,50,75,491.4
75,lane_lane-KH;2-KM;2,100,121,491.4
70,lane_lane-KH;2-KM;2,100,121,491.4
75,lane_lane-KH;2-KM;2,200,735,491.4
75,lane_lane-KH;2-KM;2,50,75,491.4
75,lane_lane-KH;2-KM;2,250,1136,491.4
71,lane_lane-KH;2-KM;2,250,1136,491.4
70,lane_lane-KH;2-KM;2,250,1136,491.4
75,lane_lane-KH;2-KM;2,150,390,491.4
47,lane_lane-KH;2-KM;2,150,390,491.4
71,lane_lane-KH;2-KM;2,150,390,491.4
33,lane_lane-KH;2-KM;2,100,121,491.4
71,lane_lane-KH;2-KM;2,50,75,491.4
33,lane_lane-KH;2-KM;2,50,75,491.4
33,lane_lane-KH;2-KM;2,150,390,491.4
47,lane_lane-KH;2-KM;2,100,121,491.4
47,lane_lane-KH;2-KM;2,200,735,491.4
70,lane_lane-KH;2-KM;2,150,390,491.4
70,lane_lane-KH;2-KM;2,200,735,491.4
47,lane_lane-KH;2-KM;2,250,1136,491.4
33,lane_lane-KH;2-KM;2,200,735,491.4
15,lane_net-HE;2-FJ,250,1064,492.4
15,lane_net-HE;2-FJ,100,408,492.4
15,lane_net-HE;2-FJ,150,151,492.4
15,lane_net-HE;2-FJ,200,750,492.4
15,lane_net-HE;2-FJ,50,89,492.4
2,net_net-FJ-FJ,50,88,497.0
3,net_net-FJ-FJ,50,88,497.0
3,net_net-FJ-FJ,100,116,497.0
2,net_net-FJ-FJ,150,672,497.0
3,net_net-FJ-FJ,150,672,497.0
3,net_net-FJ-FJ,250,850,497.0
2,net_net-FJ-FJ,200,759,497.0
3,net_net-FJ-FJ,200,759,497.0
2,net_net-FJ-FJ,250,850,497.0
2,net_net-FJ-FJ,100,116,497.0
55,lane_lane-KM;2-JM;2,200,505,499.8
55,lane_lane-KM;2-JM;2,100,405,499.8
55,lane_lane-KM;2-JM;2,250,1351,499.8
55,lane_lane-KM;2-JM;2,50,83,499.8
55,lane_lane-KM;2-JM;2,150,155,499.8
46,lane_net-JM;2-GI,250,883,508.6
46,lane_net-JM;2-GI,150,426,508.6
46,lane_net-JM;2-GI,50,79,508.6
46,lane_net-JM;2-GI,200,759,508.6
46,lane_net-JM;2-GI,100,396,508.6
18,lane_lane-HE;2-HD;2,150,444,511.0
18,lane_lane-HE;2-HD;2,100,114,511.0
4,lane_lane-HE;2-HD;2,150,444,511.0
18,lane_lane-HE;2-HD;2,50,71,511.0
4,lane_lane-HE;2-HD;2,100,114,511.0
34,lane_lane-HE;2-HD;2,200,1050,511.0
18,lane_lane-HE;2-HD;2,200,1050,511.0
34,lane_lane-HE;2-HD;2,50,71,511.0
4,lane_lane-HE;2-HD;2,200,1050,511.0
34,lane_lane-HE;2-HD;2,250,876,511.0
34,lane_lane-HE;2-HD;2,100,114,511.0
18,lane_lane-HE;2-HD;2,250,876,511.0
4,lane_lane-HE;2-HD;2,250,876,511.0
4,lane_lane-HE;2-HD;2,50,71,511.0
34,lane_lane-HE;2-HD;2,150,444,511.0
44,lane_net-AC;2-GI,200,756,512.2
44,lane_net-AC;2-GI,150,461,512.2
48,lane_net-AC;2-GI,100,389,512.2
44,lane_net-AC;2-GI,100,389,512.2
48,lane_net-AC;2-GI,50,87,512.2
44,lane_net-AC;2-GI,250,868,512.2
48,lane_net-AC;2-GI,250,868,512.2
48,lane_net-AC;2-GI,200,756,512.2
44,lane_net-AC;2-GI,50,87,512.2
48,lane_net-AC;2-GI,150,461,512.2
14,lane_lane-GF;2-KH;2,250,1139,515.6
14,lane_lane-GF;2-KH;2,100,131,515.6
14,lane_lane-GF;2-KH;2,200,803,515.6
14,lane_lane-GF;2-KH;2,150,426,515.6
14,lane_lane-GF;2-KH;2,50,79,515.6
68,lane_lane-LI;2-KH;2,150,421,516.6
68,lane_lane-LI;2-KH;2,50,79,516.6
68,lane_lane-LI;2-KH;2,200,515,516.6
68,lane_lane-LI;2-KH;2,250,1452,516.6
68,lane_lane-LI;2-KH;2,100,116,516.6
42,lane_lane-HE;2-KM;2,100,400,519.6
42,lane_lane-HE;2-KM;2,150,186,519.6
42,lane_lane-HE;2-KM;2,50,78,519.6
42,lane_lane-HE;2-KM;2,250,1136,519.6
42,lane_lane-HE;2-KM;2,200,798,519.6
23,lane_lane-AC;2-KH;2,100,116,522.8
23,lane_lane-AC;2-KH;2,150,406,522.8
23,lane_lane-AC;2-KH;2,50,74,522.8
23,lane_lane-AC;2-KH;2,250,1008,522.8
23,lane_lane-AC;2-KH;2,200,1010,522.8
9,lane_net-EB;2-GI,150,443,523.4
9,lane_net-EB;2-GI,100,124,523.4
9,lane_net-EB;2-GI,50,89,523.4
9,lane_net-EB;2-GI,200,842,523.4
9,lane_net-EB;2-GI,250,1119,523.4
57,lane_net-GC;2-GI,50,71,532.4
31,lane_net-GC;2-GI,250,1015,532.4
31,lane_net-GC;2-GI,200,757,532.4
57,lane_net-GC;2-GI,250,1015,532.4
31,lane_net-GC;2-GI,100,378,532.4
57,lane_net-GC;2-GI,200,757,532.4
57,lane_net-GC;2-GI,150,441,532.4
31,lane_net-GC;2-GI,150,441,532.4
57,lane_net-GC;2-GI,100,378,532.4
31,lane_net-GC;2-GI,50,71,532.4
38,lane_net-GD;2-GI,100,346,539.6
38,lane_net-GD;2-GI,200,753,539.6
38,lane_net-GD;2-GI,150,445,539.6
38,lane_net-GD;2-GI,50,334,539.6
38,lane_net-GD;2-GI,250,820,539.6
5,lane_net-JM;2-FJ,150,439,548.0
63,lane_net-JM;2-FJ,250,1084,548.0
60,lane_net-JM;2-FJ,100,395,548.0
5,lane_net-JM;2-FJ,50,70,548.0
63,lane_net-JM;2-FJ,100,395,548.0
63,lane_net-JM;2-FJ,50,70,548.0
5,lane_net-JM;2-FJ,100,395,548.0
60,lane_net-JM;2-FJ,200,752,548.0
60,lane_net-JM;2-FJ,250,1084,548.0
63,lane_net-JM;2-FJ,150,439,548.0
63,lane_net-JM;2-FJ,200,752,548.0
5,lane_net-JM;2-FJ,200,752,548.0
60,lane_net-JM;2-FJ,150,439,548.0
