ID,Configuracao,Qnt. Veiculos,Custo Individual,Custo Medio
21,net_net-FI-EJ,100,434,624.2
21,net_net-FI-EJ,200,466,624.2
21,net_net-FI-EJ,250,1408,624.2
21,net_net-FI-EJ,150,721,624.2
21,net_net-FI-EJ,50,92,624.2
31,net_net-JM-EJ,150,456,677.0
31,net_net-JM-EJ,50,81,677.0
34,net_net-JM-EJ,150,456,677.0
34,net_net-JM-EJ,250,1414,677.0
34,net_net-JM-EJ,50,81,677.0
34,net_net-JM-EJ,200,1004,677.0
31,net_net-JM-EJ,250,1414,677.0
31,net_net-JM-EJ,100,430,677.0
31,net_net-JM-EJ,200,1004,677.0
34,net_net-JM-EJ,100,430,677.0
23,net_net-AD-EJ,100,148,692.6
15,net_net-AD-EJ,250,1960,692.6
23,net_net-AD-EJ,150,789,692.6
23,net_net-AD-EJ,250,1960,692.6
23,net_net-AD-EJ,50,97,692.6
15,net_net-AD-EJ,150,789,692.6
15,net_net-AD-EJ,50,97,692.6
15,net_net-AD-EJ,200,469,692.6
23,net_net-AD-EJ,200,469,692.6
15,net_net-AD-EJ,100,148,692.6
17,net_net-FI-GJ,200,414,719.6
17,net_net-FI-GJ,100,694,719.6
17,net_net-FI-GJ,250,1386,719.6
17,net_net-FI-GJ,150,1005,719.6
17,net_net-FI-GJ,50,99,719.6
30,net_net-EL-JM,50,102,733.6
30,net_net-EL-JM,250,1721,733.6
30,net_net-EL-JM,100,402,733.6
30,net_net-EL-JM,150,736,733.6
30,net_net-EL-JM,200,707,733.6
32,net_net-AD-BC,250,1769,758.4
11,net_net-AD-BC,50,87,758.4
32,net_net-AD-BC,50,87,758.4
28,net_net-AD-BC,250,1769,758.4
28,net_net-AD-BC,200,498,758.4
8,net_net-AD-BC,100,705,758.4
32,net_net-AD-BC,150,733,758.4
28,net_net-AD-BC,100,705,758.4
11,net_net-AD-BC,150,733,758.4
11,net_net-AD-BC,250,1769,758.4
28,net_net-AD-BC,50,87,758.4
11,net_net-AD-BC,200,498,758.4
32,net_net-AD-BC,200,498,758.4
8,net_net-AD-BC,250,1769,758.4
11,net_net-AD-BC,100,705,758.4
32,net_net-AD-BC,100,705,758.4
28,net_net-AD-BC,150,733,758.4
8,net_net-AD-BC,50,87,758.4
8,net_net-AD-BC,200,498,758.4
8,net_net-AD-BC,150,733,758.4
7,lane_net-CM;2-EL,150,514,804.2
19,lane_net-CM;2-EL,100,417,804.2
19,lane_net-CM;2-EL,150,514,804.2
14,lane_net-CM;2-EL,100,417,804.2
19,lane_net-CM;2-EL,200,745,804.2
14,lane_net-CM;2-EL,150,514,804.2
19,lane_net-CM;2-EL,50,89,804.2
7,lane_net-CM;2-EL,100,417,804.2
19,lane_net-CM;2-EL,250,2256,804.2
14,lane_net-CM;2-EL,50,89,804.2
7,lane_net-CM;2-EL,50,89,804.2
7,lane_net-CM;2-EL,250,2256,804.2
14,lane_net-CM;2-EL,200,745,804.2
14,lane_net-CM;2-EL,250,2256,804.2
7,lane_net-CM;2-EL,200,745,804.2
22,net_net-CJ-EJ,250,1604,857.0
22,net_net-CJ-EJ,200,524,857.0
22,net_net-CJ-EJ,50,96,857.0
22,net_net-CJ-EJ,100,1021,857.0
22,net_net-CJ-EJ,150,1040,857.0
18,net_net-AD-KM,100,413,862.8
18,net_net-AD-KM,150,1033,862.8
18,net_net-AD-KM,50,87,862.8
18,net_net-AD-KM,200,487,862.8
18,net_net-AD-KM,250,2294,862.8
9,net_net-BG-AD,250,2603,880.0
9,net_net-BG-AD,150,764,880.0
9,net_net-BG-AD,100,423,880.0
9,net_net-BG-AD,50,92,880.0
9,net_net-BG-AD,200,518,880.0
33,net_net-CJ-HK,200,269,882.8
33,net_net-CJ-HK,50,93,882.8
33,net_net-CJ-HK,150,1340,882.8
33,net_net-CJ-HK,100,710,882.8
33,net_net-CJ-HK,250,2002,882.8
20,net_net-FI-BC,50,91,897.6
20,net_net-FI-BC,100,694,897.6
20,net_net-FI-BC,250,1956,897.6
20,net_net-FI-BC,200,999,897.6
20,net_net-FI-BC,150,748,897.6
6,net_net-JM-HK,200,715,909.2
6,net_net-JM-HK,100,708,909.2
6,net_net-JM-HK,250,2004,909.2
6,net_net-JM-HK,150,1024,909.2
6,net_net-JM-HK,50,95,909.2
13,net_net-EL-AD,150,749,915.8
13,net_net-EL-AD,100,1008,915.8
13,net_net-EL-AD,250,1955,915.8
13,net_net-EL-AD,200,778,915.8
13,net_net-EL-AD,50,89,915.8
4,lane_net-AE;2-AD,150,1043,928.8
4,lane_net-AE;2-AD,200,489,928.8
4,lane_net-AE;2-AD,100,691,928.8
4,lane_net-AE;2-AD,250,2334,928.8
4,lane_net-AE;2-AD,50,87,928.8
29,lane_lane-GK;2-BK;2,100,750,933.2
5,lane_lane-GK;2-BK;2,100,750,933.2
29,lane_lane-GK;2-BK;2,250,2043,933.2
29,lane_lane-GK;2-BK;2,150,748,933.2
5,lane_lane-GK;2-BK;2,200,1029,933.2
29,lane_lane-GK;2-BK;2,50,96,933.2
29,lane_lane-GK;2-BK;2,200,1029,933.2
5,lane_lane-GK;2-BK;2,50,96,933.2
5,lane_lane-GK;2-BK;2,150,748,933.2
5,lane_lane-GK;2-BK;2,250,2043,933.2
27,lane_net-EI;2-AD,250,1684,967.2
27,lane_net-EI;2-AD,150,1331,967.2
27,lane_net-EI;2-AD,50,79,967.2
27,lane_net-EI;2-AD,100,977,967.2
27,lane_net-EI;2-AD,200,765,967.2
12,lane_net-CM;2-AD,200,489,979.8
12,lane_net-CM;2-AD,250,2293,979.8
12,lane_net-CM;2-AD,50,89,979.8
12,lane_net-CM;2-AD,100,991,979.8
12,lane_net-CM;2-AD,150,1037,979.8
24,net_net-AD-GJ,200,776,1034.0
24,net_net-AD-GJ,100,982,1034.0
24,net_net-AD-GJ,250,1997,1034.0
24,net_net-AD-GJ,150,1323,1034.0
24,net_net-AD-GJ,50,92,1034.0
25,lane_net-GH;2-AD,50,78,1036.2
25,lane_net-GH;2-AD,100,997,1036.2
25,lane_net-GH;2-AD,250,2261,1036.2
25,lane_net-GH;2-AD,150,1068,1036.2
25,lane_net-GH;2-AD,200,777,1036.2
16,lane_net-GH;2-KM,100,985,1037.6
16,lane_net-GH;2-KM,250,2279,1037.6
16,lane_net-GH;2-KM,50,101,1037.6
16,lane_net-GH;2-KM,150,1052,1037.6
16,lane_net-GH;2-KM,200,771,1037.6
35,lane_net-DI;2-EL,200,1022,1041.6
35,lane_net-DI;2-EL,150,1046,1041.6
35,lane_net-DI;2-EL,50,97,1041.6
35,lane_net-DI;2-EL,250,2336,1041.6
35,lane_net-DI;2-EL,100,707,1041.6
2,net_net-BG-GL,250,2315,1043.4
2,net_net-BG-GL,50,100,1043.4
2,net_net-BG-GL,200,1051,1043.4
2,net_net-BG-GL,100,712,1043.4
2,net_net-BG-GL,150,1039,1043.4
3,net_net-HK-GL,50,105,1090.0
26,net_net-HK-GL,100,1037,1090.0
26,net_net-HK-GL,150,1041,1090.0
3,net_net-HK-GL,200,736,1090.0
3,net_net-HK-GL,250,2531,1090.0
3,net_net-HK-GL,100,1037,1090.0
3,net_net-HK-GL,150,1041,1090.0
26,net_net-HK-GL,50,105,1090.0
26,net_net-HK-GL,200,736,1090.0
26,net_net-HK-GL,250,2531,1090.0
1,lane_lane-AE;2-FL;2,150,1595,1101.6
1,lane_lane-AE;2-FL;2,250,2316,1101.6
1,lane_lane-AE;2-FL;2,50,97,1101.6
1,lane_lane-AE;2-FL;2,200,789,1101.6
1,lane_lane-AE;2-FL;2,100,711,1101.6
10,lane_net-AL;2-FK,200,1053,1240.2
10,lane_net-AL;2-FK,50,97,1240.2
10,lane_net-AL;2-FK,150,1090,1240.2
10,lane_net-AL;2-FK,100,1295,1240.2
10,lane_net-AL;2-FK,250,2666,1240.2
