ID,Configuracao,Qnt. Veiculos,Custo Individual,Custo Medio
16,lane_lane-GH;2-GD;2,100,369,539.4
28,lane_lane-GD;2-GH;2,100,369,539.4
28,lane_lane-GD;2-GH;2,150,404,539.4
28,lane_lane-GD;2-GH;2,50,335,539.4
28,lane_lane-GD;2-GH;2,250,876,539.4
16,lane_lane-GH;2-GD;2,250,876,539.4
16,lane_lane-GH;2-GD;2,150,404,539.4
16,lane_lane-GH;2-GD;2,50,335,539.4
16,lane_lane-GH;2-GD;2,200,713,539.4
28,lane_lane-GD;2-GH;2,200,713,539.4
22,lane_net-GD;2-GI,50,334,539.6
25,lane_net-GD;2-GI,100,346,539.6
23,lane_net-GD;2-GI,200,753,539.6
27,lane_net-GD;2-GI,200,753,539.6
3,lane_net-GD;2-GI,250,820,539.6
25,lane_net-GD;2-GI,50,334,539.6
31,lane_net-GD;2-GI,200,753,539.6
27,lane_net-GD;2-GI,100,346,539.6
31,lane_net-GD;2-GI,250,820,539.6
31,lane_net-GD;2-GI,100,346,539.6
3,lane_net-GD;2-GI,150,445,539.6
31,lane_net-GD;2-GI,150,445,539.6
23,lane_net-GD;2-GI,50,334,539.6
22,lane_net-GD;2-GI,150,445,539.6
31,lane_net-GD;2-GI,50,334,539.6
22,lane_net-GD;2-GI,200,753,539.6
23,lane_net-GD;2-GI,150,445,539.6
22,lane_net-GD;2-GI,250,820,539.6
25,lane_net-GD;2-GI,250,820,539.6
23,lane_net-GD;2-GI,100,346,539.6
25,lane_net-GD;2-GI,200,753,539.6
23,lane_net-GD;2-GI,250,820,539.6
3,lane_net-GD;2-GI,200,753,539.6
3,lane_net-GD;2-GI,100,346,539.6
27,lane_net-GD;2-GI,150,445,539.6
3,lane_net-GD;2-GI,50,334,539.6
25,lane_net-GD;2-GI,150,445,539.6
27,lane_net-GD;2-GI,50,334,539.6
27,lane_net-GD;2-GI,250,820,539.6
22,lane_net-GD;2-GI,100,346,539.6
29,lane_lane-GD;2-FI;2,250,1069,580.6
30,lane_lane-GD;2-FI;2,50,85,580.6
30,lane_lane-GD;2-FI;2,100,353,580.6
29,lane_lane-GD;2-FI;2,150,685,580.6
14,lane_lane-GD;2-FI;2,150,685,580.6
30,lane_lane-GD;2-FI;2,150,685,580.6
30,lane_lane-GD;2-FI;2,250,1069,580.6
29,lane_lane-GD;2-FI;2,50,85,580.6
14,lane_lane-GD;2-FI;2,250,1069,580.6
29,lane_lane-GD;2-FI;2,200,711,580.6
29,lane_lane-GD;2-FI;2,100,353,580.6
14,lane_lane-GD;2-FI;2,200,711,580.6
14,lane_lane-GD;2-FI;2,50,85,580.6
30,lane_lane-GD;2-FI;2,200,711,580.6
14,lane_lane-GD;2-FI;2,100,353,580.6
13,lane_lane-HE;2-GH;2,100,394,598.6
13,lane_lane-HE;2-GH;2,150,707,598.6
13,lane_lane-HE;2-GH;2,250,1049,598.6
13,lane_lane-HE;2-GH;2,200,762,598.6
13,lane_lane-HE;2-GH;2,50,81,598.6
15,lane_net-GD;2-FJ,100,355,601.8
15,lane_net-GD;2-FJ,150,724,601.8
