ID,Configuracao,Qnt. Veiculos,Custo Individual,Custo Medio
55,lane_lane-EF;2-DE;2,200,486,351.2
55,lane_lane-EF;2-DE;2,250,864,351.2
55,lane_lane-EF;2-DE;2,100,127,351.2
20,lane_lane-EF;2-DE;2,50,95,351.2
83,lane_lane-EF;2-DE;2,50,95,351.2
83,lane_lane-EF;2-DE;2,100,127,351.2
83,lane_lane-EF;2-DE;2,250,864,351.2
83,lane_lane-EF;2-DE;2,150,184,351.2
20,lane_lane-EF;2-DE;2,250,864,351.2
20,lane_lane-EF;2-DE;2,150,184,351.2
55,lane_lane-EF;2-DE;2,50,95,351.2
83,lane_lane-EF;2-DE;2,200,486,351.2
20,lane_lane-EF;2-DE;2,100,127,351.2
20,lane_lane-EF;2-DE;2,200,486,351.2
55,lane_lane-EF;2-DE;2,150,184,351.2
56,lane_lane-EF;2-FG;2,150,181,397.6
93,lane_lane-EF;2-FG;2,250,1110,397.6
56,lane_lane-EF;2-FG;2,200,466,397.6
93,lane_lane-EF;2-FG;2,100,127,397.6
56,lane_lane-EF;2-FG;2,250,1110,397.6
93,lane_lane-EF;2-FG;2,50,104,397.6
56,lane_lane-EF;2-FG;2,100,127,397.6
93,lane_lane-EF;2-FG;2,150,181,397.6
93,lane_lane-EF;2-FG;2,200,466,397.6
56,lane_lane-EF;2-FG;2,50,104,397.6
64,lane_lane-FJ;2-EF;2,150,250,418.6
64,lane_lane-FJ;2-EF;2,250,1113,418.6
64,lane_lane-FJ;2-EF;2,100,175,418.6
64,lane_lane-FJ;2-EF;2,50,97,418.6
64,lane_lane-FJ;2-EF;2,200,458,418.6
85,lane_net-EF;2-JM,150,195,426.2
85,lane_net-EF;2-JM,200,473,426.2
11,lane_net-EF;2-JM,150,195,426.2
73,lane_net-EF;2-JM,100,457,426.2
85,lane_net-EF;2-JM,50,97,426.2
11,lane_net-EF;2-JM,50,97,426.2
73,lane_net-EF;2-JM,150,195,426.2
11,lane_net-EF;2-JM,250,909,426.2
73,lane_net-EF;2-JM,200,473,426.2
11,lane_net-EF;2-JM,200,473,426.2
85,lane_net-EF;2-JM,250,909,426.2
11,lane_net-EF;2-JM,100,457,426.2
73,lane_net-EF;2-JM,250,909,426.2
73,lane_net-EF;2-JM,50,97,426.2
85,lane_net-EF;2-JM,100,457,426.2
54,lane_net-EF;2-AD,250,809,447.4
54,lane_net-EF;2-AD,150,698,447.4
54,lane_net-EF;2-AD,200,488,447.4
54,lane_net-EF;2-AD,100,143,447.4
54,lane_net-EF;2-AD,50,99,447.4
23,lane_net-EF;2-GL,150,437,451.6
63,lane_net-EF;2-GL,250,1129,451.6
63,lane_net-EF;2-GL,150,437,451.6
91,lane_net-EF;2-GL,250,1129,451.6
23,lane_net-EF;2-GL,100,137,451.6
59,lane_net-EF;2-GL,200,468,451.6
59,lane_net-EF;2-GL,100,137,451.6
23,lane_net-EF;2-GL,200,468,451.6
63,lane_net-EF;2-GL,200,468,451.6
63,lane_net-EF;2-GL,50,87,451.6
59,lane_net-EF;2-GL,150,437,451.6
91,lane_net-EF;2-GL,150,437,451.6
63,lane_net-EF;2-GL,100,137,451.6
23,lane_net-EF;2-GL,50,87,451.6
91,lane_net-EF;2-GL,100,137,451.6
91,lane_net-EF;2-GL,200,468,451.6
59,lane_net-EF;2-GL,250,1129,451.6
23,lane_net-EF;2-GL,250,1129,451.6
59,lane_net-EF;2-GL,50,87,451.6
91,lane_net-EF;2-GL,50,87,451.6
84,lane_lane-CK;2-EF;2,100,154,455.6
34,lane_lane-EF;2-CK;2,250,1393,455.6
34,lane_lane-EF;2-CK;2,150,165,455.6
84,lane_lane-CK;2-EF;2,250,1393,455.6
84,lane_lane-CK;2-EF;2,50,88,455.6
34,lane_lane-EF;2-CK;2,100,154,455.6
84,lane_lane-CK;2-EF;2,150,165,455.6
84,lane_lane-CK;2-EF;2,200,478,455.6
34,lane_lane-EF;2-CK;2,50,88,455.6
34,lane_lane-EF;2-CK;2,200,478,455.6
78,lane_lane-EF;2-EF;2,200,462,458.2
78,lane_lane-EF;2-EF;2,50,90,458.2
9,lane_lane-EF;2-EF;2,250,1153,458.2
78,lane_lane-EF;2-EF;2,150,453,458.2
9,lane_lane-EF;2-EF;2,150,453,458.2
43,lane_lane-EF;2-EF;2,150,453,458.2
43,lane_lane-EF;2-EF;2,100,133,458.2
43,lane_lane-EF;2-EF;2,250,1153,458.2
78,lane_lane-EF;2-EF;2,100,133,458.2
9,lane_lane-EF;2-EF;2,200,462,458.2
78,lane_lane-EF;2-EF;2,250,1153,458.2
43,lane_lane-EF;2-EF;2,50,90,458.2
9,lane_lane-EF;2-EF;2,50,90,458.2
43,lane_lane-EF;2-EF;2,200,462,458.2
9,lane_lane-EF;2-EF;2,100,133,458.2
32,lane_net-EF;2-GJ,100,139,458.6
74,lane_net-EF;2-GJ,100,139,458.6
52,lane_net-EF;2-GJ,250,1359,458.6
32,lane_net-EF;2-GJ,150,231,458.6
52,lane_net-EF;2-GJ,100,139,458.6
74,lane_net-EF;2-GJ,50,83,458.6
74,lane_net-EF;2-GJ,150,231,458.6
52,lane_net-EF;2-GJ,150,231,458.6
52,lane_net-EF;2-GJ,200,481,458.6
74,lane_net-EF;2-GJ,250,1359,458.6
74,lane_net-EF;2-GJ,200,481,458.6
52,lane_net-EF;2-GJ,50,83,458.6
32,lane_net-EF;2-GJ,50,83,458.6
32,lane_net-EF;2-GJ,250,1359,458.6
32,lane_net-EF;2-GJ,200,481,458.6
67,lane_lane-AE;2-EF;2,150,191,467.4
58,lane_lane-AE;2-EF;2,150,191,467.4
58,lane_lane-AE;2-EF;2,250,1423,467.4
67,lane_lane-AE;2-EF;2,250,1423,467.4
44,lane_lane-EF;2-AE;2,100,133,467.4
67,lane_lane-AE;2-EF;2,200,496,467.4
58,lane_lane-AE;2-EF;2,200,496,467.4
67,lane_lane-AE;2-EF;2,100,133,467.4
44,lane_lane-EF;2-AE;2,50,94,467.4
44,lane_lane-EF;2-AE;2,250,1423,467.4
