ID,Configuracao,Qnt. Veiculos,Custo Individual,Custo Medio
44,lane_lane-JK;2-KH;2,50,79,413.8
44,lane_lane-JK;2-KH;2,150,193,413.8
44,lane_lane-JK;2-KH;2,200,526,413.8
84,lane_lane-JK;2-KH;2,250,1157,413.8
84,lane_lane-JK;2-KH;2,200,526,413.8
84,lane_lane-JK;2-KH;2,150,193,413.8
84,lane_lane-JK;2-KH;2,50,79,413.8
44,lane_lane-JK;2-KH;2,250,1157,413.8
84,lane_lane-JK;2-KH;2,100,114,413.8
44,lane_lane-JK;2-KH;2,100,114,413.8
28,lane_lane-AB;2-KH;2,100,114,466.4
45,lane_lane-AB;2-KH;2,100,114,466.4
45,lane_lane-AB;2-KH;2,150,192,466.4
28,lane_lane-AB;2-KH;2,50,71,466.4
64,lane_lane-AB;2-KH;2,50,71,466.4
64,lane_lane-AB;2-KH;2,100,114,466.4
64,lane_lane-AB;2-KH;2,200,805,466.4
64,lane_lane-AB;2-KH;2,150,192,466.4
28,lane_lane-AB;2-KH;2,200,805,466.4
45,lane_lane-AB;2-KH;2,250,1150,466.4
28,lane_lane-AB;2-KH;2,250,1150,466.4
45,lane_lane-AB;2-KH;2,50,71,466.4
64,lane_lane-AB;2-KH;2,250,1150,466.4
28,lane_lane-AB;2-KH;2,150,192,466.4
45,lane_lane-AB;2-KH;2,200,805,466.4
31,net_net-FJ-FJ,250,850,497.0
31,net_net-FJ-FJ,100,116,497.0
31,net_net-FJ-FJ,50,88,497.0
31,net_net-FJ-FJ,150,672,497.0
31,net_net-FJ-FJ,200,759,497.0
70,lane_lane-HE;2-JI;2,50,89,501.4
70,lane_lane-HE;2-JI;2,100,122,501.4
70,lane_lane-HE;2-JI;2,150,437,501.4
70,lane_lane-HE;2-JI;2,250,1127,501.4
70,lane_lane-HE;2-JI;2,200,732,501.4
56,lane_lane-FI;2-EB;2,50,89,507.4
56,lane_lane-FI;2-EB;2,250,1109,507.4
56,lane_lane-FI;2-EB;2,100,134,507.4
56,lane_lane-FI;2-EB;2,200,757,507.4
42,lane_lane-EB;2-FI;2,50,89,507.4
42,lane_lane-EB;2-FI;2,250,1109,507.4
42,lane_lane-EB;2-FI;2,150,448,507.4
42,lane_lane-EB;2-FI;2,100,134,507.4
42,lane_lane-EB;2-FI;2,200,757,507.4
56,lane_lane-FI;2-EB;2,150,448,507.4
24,lane_net-AC;2-FJ,200,746,509.4
24,lane_net-AC;2-FJ,150,444,509.4
24,lane_net-AC;2-FJ,100,390,509.4
24,lane_net-AC;2-FJ,50,81,509.4
24,lane_net-AC;2-FJ,250,886,509.4
89,lane_lane-FI;2-AC;2,100,387,512.8
