ID,Configuracao,Qnt. Veiculos,Custo Individual,Custo Medio
10,lane_net-EF;2-GL,50,88,449.59999999999997
10,lane_net-EF;2-GL,100,137,449.59999999999997
10,lane_net-EF;2-GL,150,453,449.59999999999997
10,lane_net-EF;2-GL,200,469,449.59999999999997
10,lane_net-EF;2-GL,250,1101,449.59999999999997
67,lane_net-DE;2-JM,50,101,572.1999999999999
67,lane_net-DE;2-JM,100,694,572.1999999999999
67,lane_net-DE;2-JM,150,527,572.1999999999999
67,lane_net-DE;2-JM,200,446,572.1999999999999
67,lane_net-DE;2-JM,250,1093,572.1999999999999
37,lane_lane-EF;2-JK;2,50,96,572.8
37,lane_lane-EF;2-JK;2,100,163,572.8
37,lane_lane-EF;2-JK;2,150,184,572.8
37,lane_lane-EF;2-JK;2,200,749,572.8
37,lane_lane-EF;2-JK;2,250,1672,572.8
82,lane_net-EI;2-FI,50,95,679.0
82,lane_net-EI;2-FI,100,412,679.0
82,lane_net-EI;2-FI,150,497,679.0
82,lane_net-EI;2-FI,200,750,679.0
82,lane_net-EI;2-FI,250,1641,679.0
64,lane_lane-DE;2-FL;2,50,100,683.8
64,lane_lane-DE;2-FL;2,100,706,683.8
64,lane_lane-DE;2-FL;2,150,748,683.8
64,lane_lane-DE;2-FL;2,200,472,683.8
64,lane_lane-DE;2-FL;2,250,1393,683.8
11,lane_net-DE;2-CJ,50,88,689.0
11,lane_net-DE;2-CJ,100,708,689.0
11,lane_net-DE;2-CJ,150,732,689.0
11,lane_net-DE;2-CJ,200,473,689.0
11,lane_net-DE;2-CJ,250,1444,689.0
6,lane_net-CM;2-FI,50,87,694.1999999999999
6,lane_net-CM;2-FI,100,693,694.1999999999999
6,lane_net-CM;2-FI,150,756,694.1999999999999
6,lane_net-CM;2-FI,200,483,694.1999999999999
6,lane_net-CM;2-FI,250,1452,694.1999999999999
78,net_net-AF-FK,50,89,706.2
78,net_net-AF-FK,100,450,706.2
78,net_net-AF-FK,150,783,706.2
78,net_net-AF-FK,200,489,706.2
78,net_net-AF-FK,250,1720,706.2
59,net_net-JM-EL,50,102,732.6
59,net_net-JM-EL,100,400,732.6
59,net_net-JM-EL,150,735,732.6
59,net_net-JM-EL,200,734,732.6
59,net_net-JM-EL,250,1692,732.6
45,lane_net-IJ;2-JM,50,100,737.1999999999999
45,lane_net-IJ;2-JM,100,708,737.1999999999999
45,lane_net-IJ;2-JM,150,1011,737.1999999999999
45,lane_net-IJ;2-JM,200,717,737.1999999999999
45,lane_net-IJ;2-JM,250,1150,737.1999999999999
38,net_net-EJ-JM,50,83,737.4
38,net_net-EJ-JM,100,424,737.4
38,net_net-EJ-JM,150,469,737.4
38,net_net-EJ-JM,200,1061,737.4
38,net_net-EJ-JM,250,1650,737.4
89,net_net-EJ-FK,50,94,749.2
89,net_net-EJ-FK,100,727,749.2
89,net_net-EJ-FK,150,748,749.2
89,net_net-EJ-FK,200,477,749.2
89,net_net-EJ-FK,250,1700,749.2
70,lane_lane-AL;2-EI;2,50,88,755.4000000000001
70,lane_lane-AL;2-EI;2,100,443,755.4000000000001
70,lane_lane-AL;2-EI;2,150,777,755.4000000000001
70,lane_lane-AL;2-EI;2,200,484,755.4000000000001
70,lane_lane-AL;2-EI;2,250,1985,755.4000000000001
54,lane_net-AE;2-AF,50,95,774.4
54,lane_net-AE;2-AF,100,170,774.4
54,lane_net-AE;2-AF,150,496,774.4
54,lane_net-AE;2-AF,200,739,774.4
54,lane_net-AE;2-AF,250,2372,774.4
5,net_net-FI-JM,50,87,787.4
5,net_net-FI-JM,100,705,787.4
5,net_net-FI-JM,150,737,787.4
5,net_net-FI-JM,200,718,787.4
5,net_net-FI-JM,250,1690,787.4
95,lane_net-DE;2-GL,50,96,799.4
95,lane_net-DE;2-GL,100,720,799.4
95,lane_net-DE;2-GL,150,750,799.4
95,lane_net-DE;2-GL,200,479,799.4
95,lane_net-DE;2-GL,250,1952,799.4
33,net_net-CJ-JM,50,97,799.4000000000001
33,net_net-CJ-JM,100,704,799.4000000000001
33,net_net-CJ-JM,150,742,799.4000000000001
33,net_net-CJ-JM,200,786,799.4000000000001
33,net_net-CJ-JM,250,1668,799.4000000000001
81,net_net-FI-EL,50,93,802.8
81,net_net-FI-EL,100,392,802.8
81,net_net-FI-EL,150,1298,802.8
81,net_net-FI-EL,200,465,802.8
81,net_net-FI-EL,250,1766,802.8
27,lane_lane-IJ;2-FJ;2,50,102,806.0
27,lane_lane-IJ;2-FJ;2,100,717,806.0
27,lane_lane-IJ;2-FJ;2,150,1026,806.0
27,lane_lane-IJ;2-FJ;2,200,702,806.0
27,lane_lane-IJ;2-FJ;2,250,1483,806.0
72,lane_lane-IJ;2-FL;2,50,110,809.6
72,lane_lane-IJ;2-FL;2,100,990,809.6
72,lane_lane-IJ;2-FL;2,150,768,809.6
72,lane_lane-IJ;2-FL;2,200,747,809.6
72,lane_lane-IJ;2-FL;2,250,1433,809.6
32,net_net-EJ-GL,50,98,817.5999999999999
32,net_net-EJ-GL,100,443,817.5999999999999
32,net_net-EJ-GL,150,754,817.5999999999999
32,net_net-EJ-GL,200,772,817.5999999999999
32,net_net-EJ-GL,250,2021,817.5999999999999
99,net_net-GJ-AF,50,88,818.2
99,net_net-GJ-AF,100,419,818.2
99,net_net-GJ-AF,150,740,818.2
99,net_net-GJ-AF,200,764,818.2
99,net_net-GJ-AF,250,2080,818.2
86,net_net-AF-EL,50,86,820.5999999999999
86,net_net-AF-EL,100,453,820.5999999999999
86,net_net-AF-EL,150,782,820.5999999999999
86,net_net-AF-EL,200,748,820.5999999999999
86,net_net-AF-EL,250,2034,820.5999999999999
25,lane_lane-FG;2-AE;2,50,103,820.8000000000001
25,lane_lane-FG;2-AE;2,100,456,820.8000000000001
25,lane_lane-FG;2-AE;2,150,1082,820.8000000000001
25,lane_lane-FG;2-AE;2,200,1038,820.8000000000001
25,lane_lane-FG;2-AE;2,250,1425,820.8000000000001
60,lane_lane-FG;2-AE;2,50,103,820.8000000000001
60,lane_lane-FG;2-AE;2,100,456,820.8000000000001
60,lane_lane-FG;2-AE;2,150,1082,820.8000000000001
60,lane_lane-FG;2-AE;2,200,1038,820.8000000000001
60,lane_lane-FG;2-AE;2,250,1425,820.8000000000001
44,lane_net-IM;2-EJ,50,94,821.0
44,lane_net-IM;2-EJ,100,448,821.0
44,lane_net-IM;2-EJ,150,1046,821.0
44,lane_net-IM;2-EJ,200,740,821.0
44,lane_net-IM;2-EJ,250,1777,821.0
74,net_net-CJ-AD,50,87,825.2
74,net_net-CJ-AD,100,704,825.2
74,net_net-CJ-AD,150,765,825.2
74,net_net-CJ-AD,200,578,825.2
74,net_net-CJ-AD,250,1992,825.2
96,net_net-GL-FI,50,96,834.0
96,net_net-GL-FI,100,699,834.0
96,net_net-GL-FI,150,1016,834.0
96,net_net-GL-FI,200,688,834.0
96,net_net-GL-FI,250,1671,834.0
23,lane_net-IM;2-HK,50,97,834.6
23,lane_net-IM;2-HK,100,983,834.6
23,lane_net-IM;2-HK,150,790,834.6
23,lane_net-IM;2-HK,200,279,834.6
23,lane_net-IM;2-HK,250,2024,834.6
3,net_net-BC-AF,50,90,838.0
3,net_net-BC-AF,100,727,838.0
3,net_net-BC-AF,150,790,838.0
3,net_net-BC-AF,200,831,838.0
3,net_net-BC-AF,250,1752,838.0
15,lane_net-GK;2-EL,50,97,841.0
15,lane_net-GK;2-EL,100,684,841.0
15,lane_net-GK;2-EL,150,744,841.0
15,lane_net-GK;2-EL,200,726,841.0
15,lane_net-GK;2-EL,250,1954,841.0
17,net_net-CJ-HK,50,93,841.6
17,net_net-CJ-HK,100,695,841.6
17,net_net-CJ-HK,150,1325,841.6
17,net_net-CJ-HK,200,289,841.6
17,net_net-CJ-HK,250,1806,841.6
29,net_net-FK-FI,50,92,846.4000000000001
29,net_net-FK-FI,100,690,846.4000000000001
29,net_net-FK-FI,150,1006,846.4000000000001
29,net_net-FK-FI,200,724,846.4000000000001
29,net_net-FK-FI,250,1720,846.4000000000001
14,lane_net-FJ;2-HK,50,99,854.8
14,lane_net-FJ;2-HK,100,712,854.8
14,lane_net-FJ;2-HK,150,1051,854.8
14,lane_net-FJ;2-HK,200,728,854.8
14,lane_net-FJ;2-HK,250,1684,854.8
77,net_net-AD-EL,50,89,855.8
77,net_net-AD-EL,100,989,855.8
77,net_net-AD-EL,150,1030,855.8
77,net_net-AD-EL,200,445,855.8
77,net_net-AD-EL,250,1726,855.8
58,lane_net-AL;2-EJ,50,94,856.5999999999999
58,lane_net-AL;2-EJ,100,444,856.5999999999999
58,lane_net-AL;2-EJ,150,1054,856.5999999999999
58,lane_net-AL;2-EJ,200,1006,856.5999999999999
58,lane_net-AL;2-EJ,250,1685,856.5999999999999
48,net_net-BC-AD,50,87,858.8
48,net_net-BC-AD,100,402,858.8
48,net_net-BC-AD,150,1317,858.8
48,net_net-BC-AD,200,465,858.8
48,net_net-BC-AD,250,2023,858.8
21,net_net-JM-AD,50,94,859.8
21,net_net-JM-AD,100,708,859.8
21,net_net-JM-AD,150,750,859.8
21,net_net-JM-AD,200,1032,859.8
21,net_net-JM-AD,250,1715,859.8
46,lane_lane-FG;2-HL;2,50,107,861.4000000000001
46,lane_lane-FG;2-HL;2,100,703,861.4000000000001
46,lane_lane-FG;2-HL;2,150,1043,861.4000000000001
46,lane_lane-FG;2-HL;2,200,459,861.4000000000001
46,lane_lane-FG;2-HL;2,250,1995,861.4000000000001
39,lane_net-IM;2-JM,50,96,869.3999999999999
39,lane_net-IM;2-JM,100,701,869.3999999999999
39,lane_net-IM;2-JM,150,1017,869.3999999999999
39,lane_net-IM;2-JM,200,466,869.3999999999999
39,lane_net-IM;2-JM,250,2067,869.3999999999999
94,net_net-AF-BG,50,89,877.0
94,net_net-AF-BG,100,721,877.0
94,net_net-AF-BG,150,498,877.0
94,net_net-AF-BG,200,1045,877.0
94,net_net-AF-BG,250,2032,877.0
20,lane_net-HL;2-CJ,50,95,878.8
20,lane_net-HL;2-CJ,100,987,878.8
20,lane_net-HL;2-CJ,150,741,878.8
20,lane_net-HL;2-CJ,200,589,878.8
20,lane_net-HL;2-CJ,250,1982,878.8
36,lane_lane-AE;2-FL;2,50,98,885.2
36,lane_lane-AE;2-FL;2,100,735,885.2
36,lane_lane-AE;2-FL;2,150,790,885.2
36,lane_lane-AE;2-FL;2,200,761,885.2
36,lane_lane-AE;2-FL;2,250,2042,885.2
18,lane_net-AL;2-BC,50,89,890.0
18,lane_net-AL;2-BC,100,695,890.0
18,lane_net-AL;2-BC,150,1037,890.0
18,lane_net-AL;2-BC,200,538,890.0
18,lane_net-AL;2-BC,250,2091,890.0
63,lane_lane-BH;2-AE;2,50,95,895.5999999999999
63,lane_lane-BH;2-AE;2,100,471,895.5999999999999
63,lane_lane-BH;2-AE;2,150,1003,895.5999999999999
