ID,Configuracao,Qnt. Veiculos,Custo Individual,Custo Medio
8,lane_lane-EI;2-CK;2,50,93,545.0
8,lane_lane-EI;2-CK;2,100,720,545.0
8,lane_lane-EI;2-CK;2,150,497,545.0
8,lane_lane-EI;2-CK;2,200,242,545.0
8,lane_lane-EI;2-CK;2,250,1173,545.0
14,lane_lane-EI;2-CM;2,50,88,690.2
14,lane_lane-EI;2-CM;2,100,727,690.2
14,lane_lane-EI;2-CM;2,150,479,690.2
14,lane_lane-EI;2-CM;2,200,233,690.2
14,lane_lane-EI;2-CM;2,250,1924,690.2
9,lane_net-DE;2-BC,50,87,743.0
9,lane_net-DE;2-BC,100,701,743.0
9,lane_net-DE;2-BC,150,752,743.0
9,lane_net-DE;2-BC,200,1046,743.0
9,lane_net-DE;2-BC,250,1129,743.0
19,lane_lane-DE;2-AL;2,50,91,752.8
19,lane_lane-DE;2-AL;2,100,708,752.8
19,lane_lane-DE;2-AL;2,150,751,752.8
19,lane_lane-DE;2-AL;2,200,490,752.8
19,lane_lane-DE;2-AL;2,250,1724,752.8
12,net_net-BC-EJ,50,88,769.8000000000001
12,net_net-BC-EJ,100,433,769.8000000000001
12,net_net-BC-EJ,150,1032,769.8000000000001
12,net_net-BC-EJ,200,513,769.8000000000001
12,net_net-BC-EJ,250,1783,769.8000000000001
5,lane_lane-DE;2-DE;2,50,91,794.4000000000001
5,lane_lane-DE;2-DE;2,100,743,794.4000000000001
5,lane_lane-DE;2-DE;2,150,794,794.4000000000001
5,lane_lane-DE;2-DE;2,200,504,794.4000000000001
5,lane_lane-DE;2-DE;2,250,1840,794.4000000000001
20,lane_lane-IJ;2-GH;2,50,117,813.2
20,lane_lane-IJ;2-GH;2,100,705,813.2
20,lane_lane-IJ;2-GH;2,150,749,813.2
20,lane_lane-IJ;2-GH;2,200,724,813.2
20,lane_lane-IJ;2-GH;2,250,1771,813.2
16,lane_lane-DE;2-FG;2,50,99,813.4000000000001
16,lane_lane-DE;2-FG;2,100,704,813.4000000000001
16,lane_lane-DE;2-FG;2,150,1060,813.4000000000001
16,lane_lane-DE;2-FG;2,200,474,813.4000000000001
16,lane_lane-DE;2-FG;2,250,1730,813.4000000000001
2,lane_net-CM;2-BC,50,85,853.8
2,lane_net-CM;2-BC,100,703,853.8
2,lane_net-CM;2-BC,150,741,853.8
2,lane_net-CM;2-BC,200,472,853.8
2,lane_net-CM;2-BC,250,2268,853.8
11,lane_lane-FJ;2-JK;2,50,111,883.4
11,lane_lane-FJ;2-JK;2,100,705,883.4
11,lane_lane-FJ;2-JK;2,150,1326,883.4
11,lane_lane-FJ;2-JK;2,200,578,883.4
11,lane_lane-FJ;2-JK;2,250,1697,883.4
3,lane_net-CK;2-JM,50,95,903.4
3,lane_net-CK;2-JM,100,701,903.4
3,lane_net-CK;2-JM,150,1026,903.4
3,lane_net-CK;2-JM,200,719,903.4
3,lane_net-CK;2-JM,250,1976,903.4
15,net_net-KM-BC,50,83,931.4000000000001
15,net_net-KM-BC,100,712,931.4000000000001
15,net_net-KM-BC,150,1053,931.4000000000001
15,net_net-KM-BC,200,764,931.4000000000001
15,net_net-KM-BC,250,2045,931.4000000000001
10,lane_lane-CM;2-GH;2,50,91,935.1999999999999
10,lane_lane-CM;2-GH;2,100,996,935.1999999999999
10,lane_lane-CM;2-GH;2,150,785,935.1999999999999
10,lane_lane-CM;2-GH;2,200,787,935.1999999999999
10,lane_lane-CM;2-GH;2,250,2017,935.1999999999999
17,lane_lane-DI;2-FG;2,50,96,935.1999999999999
17,lane_lane-DI;2-FG;2,100,720,935.1999999999999
17,lane_lane-DI;2-FG;2,150,1093,935.1999999999999
17,lane_lane-DI;2-FG;2,200,759,935.1999999999999
17,lane_lane-DI;2-FG;2,250,2008,935.1999999999999
6,net_net-BG-CJ,50,94,954.4000000000001
6,net_net-BG-CJ,100,712,954.4000000000001
6,net_net-BG-CJ,150,1343,954.4000000000001
6,net_net-BG-CJ,200,299,954.4000000000001
6,net_net-BG-CJ,250,2324,954.4000000000001
18,lane_net-HL;2-FK,50,98,986.4
18,lane_net-HL;2-FK,100,709,986.4
18,lane_net-HL;2-FK,150,1328,986.4
18,lane_net-HL;2-FK,200,722,986.4
18,lane_net-HL;2-FK,250,2075,986.4
1,lane_net-DI;2-AD,50,89,991.4000000000001
1,lane_net-DI;2-AD,100,995,991.4000000000001
1,lane_net-DI;2-AD,150,780,991.4000000000001
1,lane_net-DI;2-AD,200,1333,991.4000000000001
1,lane_net-DI;2-AD,250,1760,991.4000000000001
13,net_net-GL-BG,50,100,1030.4
13,net_net-GL-BG,100,998,1030.4
13,net_net-GL-BG,150,1066,1030.4
13,net_net-GL-BG,200,738,1030.4
13,net_net-GL-BG,250,2250,1030.4
4,net_net-AD-GJ,50,90,1037.8000000000002
4,net_net-AD-GJ,100,988,1037.8000000000002
4,net_net-AD-GJ,150,1053,1037.8000000000002
4,net_net-AD-GJ,200,825,1037.8000000000002
4,net_net-AD-GJ,250,2233,1037.8000000000002
7,lane_net-BH;2-CJ,50,96,1090.8000000000002
7,lane_net-BH;2-CJ,100,997,1090.8000000000002
7,lane_net-BH;2-CJ,150,1333,1090.8000000000002
7,lane_net-BH;2-CJ,200,750,1090.8000000000002
7,lane_net-BH;2-CJ,250,2278,1090.8000000000002
