ID,Configuracao,Qnt. Veiculos,Custo Individual,Custo Medio
11,lane_net-KH;2-FJ,50,71,441.0
11,lane_net-KH;2-FJ,100,116,441.0
11,lane_net-KH;2-FJ,150,416,441.0
11,lane_net-KH;2-FJ,200,742,441.0
11,lane_net-KH;2-FJ,250,860,441.0
25,lane_net-EB;2-GI,50,89,458.4
25,lane_net-EB;2-GI,100,124,458.4
25,lane_net-EB;2-GI,150,443,458.4
25,lane_net-EB;2-GI,200,572,458.4
25,lane_net-EB;2-GI,250,1064,458.4
27,lane_lane-KH;2-KM;2,50,75,491.4
27,lane_lane-KH;2-KM;2,100,121,491.4
27,lane_lane-KH;2-KM;2,150,390,491.4
27,lane_lane-KH;2-KM;2,200,735,491.4
27,lane_lane-KH;2-KM;2,250,1136,491.4
13,lane_lane-CF;2-KM;2,50,85,505.6
13,lane_lane-CF;2-KM;2,100,394,505.6
13,lane_lane-CF;2-KM;2,150,428,505.6
13,lane_lane-CF;2-KM;2,200,769,505.6
13,lane_lane-CF;2-KM;2,250,852,505.6
1,lane_net-AC;2-FJ,50,81,508.6
1,lane_net-AC;2-FJ,100,390,508.6
1,lane_net-AC;2-FJ,150,444,508.6
1,lane_net-AC;2-FJ,200,754,508.6
1,lane_net-AC;2-FJ,250,874,508.6
28,lane_net-LI;2-FJ,50,89,521.8
28,lane_net-LI;2-FJ,100,414,521.8
28,lane_net-LI;2-FJ,150,458,521.8
28,lane_net-LI;2-FJ,200,778,521.8
28,lane_net-LI;2-FJ,250,870,521.8
39,lane_lane-CF;2-DC;2,50,87,547.2
39,lane_lane-CF;2-DC;2,100,376,547.2
39,lane_lane-CF;2-DC;2,150,668,547.2
39,lane_lane-CF;2-DC;2,200,749,547.2
39,lane_lane-CF;2-DC;2,250,856,547.2
15,lane_lane-HE;2-AC;2,50,82,549.4000000000001
15,lane_lane-HE;2-AC;2,100,123,549.4000000000001
15,lane_lane-HE;2-AC;2,150,454,549.4000000000001
15,lane_lane-HE;2-AC;2,200,1294,549.4000000000001
