ID,Configuracao,Qnt. Veiculos,Custo Individual,Custo Medio
17,lane_net-KH;2-FJ,50,71,441.0
17,lane_net-KH;2-FJ,100,116,441.0
17,lane_net-KH;2-FJ,150,416,441.0
17,lane_net-KH;2-FJ,200,742,441.0
17,lane_net-KH;2-FJ,250,860,441.0
18,lane_net-KH;2-FJ,50,71,441.0
18,lane_net-KH;2-FJ,100,116,441.0
18,lane_net-KH;2-FJ,150,416,441.0
18,lane_net-KH;2-FJ,200,742,441.0
18,lane_net-KH;2-FJ,250,860,441.0
38,lane_lane-EB;2-DB;2,50,73,479.59999999999997
38,lane_lane-EB;2-DB;2,100,109,479.59999999999997
38,lane_lane-EB;2-DB;2,150,680,479.59999999999997
38,lane_lane-EB;2-DB;2,200,755,479.59999999999997
38,lane_lane-EB;2-DB;2,250,781,479.59999999999997
6,lane_net-JI;2-GI,50,80,492.20000000000005
6,lane_net-JI;2-GI,100,118,492.20000000000005
6,lane_net-JI;2-GI,150,440,492.20000000000005
6,lane_net-JI;2-GI,200,525,492.20000000000005
6,lane_net-JI;2-GI,250,1298,492.20000000000005
1,lane_lane-HE;2-JI;2,50,89,519.6
1,lane_lane-HE;2-JI;2,100,122,519.6
1,lane_lane-HE;2-JI;2,150,437,519.6
1,lane_lane-HE;2-JI;2,200,823,519.6
1,lane_lane-HE;2-JI;2,250,1127,519.6
28,lane_net-LI;2-FJ,50,89,521.8
28,lane_net-LI;2-FJ,100,414,521.8
28,lane_net-LI;2-FJ,150,458,521.8
28,lane_net-LI;2-FJ,200,778,521.8
28,lane_net-LI;2-FJ,250,870,521.8
36,lane_lane-AC;2-DB;2,50,83,545.0
36,lane_lane-AC;2-DB;2,100,405,545.0
36,lane_lane-AC;2-DB;2,150,435,545.0
36,lane_lane-AC;2-DB;2,200,711,545.0
36,lane_lane-AC;2-DB;2,250,1091,545.0
7,lane_net-JM;2-GI,50,79,548.8
7,lane_net-JM;2-GI,100,396,548.8
7,lane_net-JM;2-GI,150,427,548.8
7,lane_net-JM;2-GI,200,758,548.8
7,lane_net-JM;2-GI,250,1084,548.8
20,lane_lane-HE;2-AC;2,50,82,549.4000000000001
20,lane_lane-HE;2-AC;2,100,123,549.4000000000001
20,lane_lane-HE;2-AC;2,150,454,549.4000000000001
20,lane_lane-HE;2-AC;2,200,1294,549.4000000000001
20,lane_lane-HE;2-AC;2,250,794,549.4000000000001
27,lane_lane-CF;2-GH;2,50,70,552.8
27,lane_lane-CF;2-GH;2,100,379,552.8
27,lane_lane-CF;2-GH;2,150,414,552.8
