ID,Configuracao,Qnt. Veiculos,Custo Individual,Custo Medio
6,lane_lane-DI;2-EI;2,50,94,639.8
6,lane_lane-DI;2-EI;2,100,448,639.8
6,lane_lane-DI;2-EI;2,150,763,639.8
6,lane_lane-DI;2-EI;2,200,770,639.8
6,lane_lane-DI;2-EI;2,250,1124,639.8
20,net_net-AD-AF,50,87,640.6
20,net_net-AD-AF,100,707,640.6
20,net_net-AD-AF,150,491,640.6
20,net_net-AD-AF,200,721,640.6
20,net_net-AD-AF,250,1197,640.6
15,lane_net-EI;2-KM,50,91,642.8
15,lane_net-EI;2-KM,100,734,642.8
15,lane_net-EI;2-KM,150,755,642.8
15,lane_net-EI;2-KM,200,497,642.8
15,lane_net-EI;2-KM,250,1137,642.8
16,lane_lane-FJ;2-DE;2,50,97,763.4
16,lane_lane-FJ;2-DE;2,100,723,763.4
16,lane_lane-FJ;2-DE;2,150,765,763.4
16,lane_lane-FJ;2-DE;2,200,550,763.4
16,lane_lane-FJ;2-DE;2,250,1682,763.4
4,lane_net-GH;2-FI,50,93,786.0
4,lane_net-GH;2-FI,100,695,786.0
4,lane_net-GH;2-FI,150,1304,786.0
4,lane_net-GH;2-FI,200,693,786.0
4,lane_net-GH;2-FI,250,1145,786.0
1,lane_net-BH;2-FI,50,93,789.6
1,lane_net-BH;2-FI,100,727,789.6
1,lane_net-BH;2-FI,150,1036,789.6
1,lane_net-BH;2-FI,200,464,789.6
1,lane_net-BH;2-FI,250,1628,789.6
17,net_net-JM-CJ,50,97,799.4000000000001
17,net_net-JM-CJ,100,704,799.4000000000001
17,net_net-JM-CJ,150,742,799.4000000000001
17,net_net-JM-CJ,200,786,799.4000000000001
17,net_net-JM-CJ,250,1668,799.4000000000001
14,lane_net-BH;2-EJ,50,91,804.3999999999999
14,lane_net-BH;2-EJ,100,993,804.3999999999999
14,lane_net-BH;2-EJ,150,1070,804.3999999999999
14,lane_net-BH;2-EJ,200,437,804.3999999999999
14,lane_net-BH;2-EJ,250,1431,804.3999999999999
10,lane_lane-BH;2-FJ;2,50,89,804.6
10,lane_lane-BH;2-FJ;2,100,709,804.6
10,lane_lane-BH;2-FJ;2,150,743,804.6
10,lane_lane-BH;2-FJ;2,200,741,804.6
10,lane_lane-BH;2-FJ;2,250,1741,804.6
8,net_net-HK-JM,50,95,850.4
8,net_net-HK-JM,100,710,850.4
8,net_net-HK-JM,150,1021,850.4
8,net_net-HK-JM,200,701,850.4
8,net_net-HK-JM,250,1725,850.4
19,lane_lane-DI;2-FJ;2,50,113,878.5999999999999
19,lane_lane-DI;2-FJ;2,100,733,878.5999999999999
19,lane_lane-DI;2-FJ;2,150,1033,878.5999999999999
19,lane_lane-DI;2-FJ;2,200,734,878.5999999999999
19,lane_lane-DI;2-FJ;2,250,1780,878.5999999999999
2,net_net-GJ-EL,50,110,916.0
2,net_net-GJ-EL,100,698,916.0
2,net_net-GJ-EL,150,752,916.0
2,net_net-GJ-EL,200,761,916.0
2,net_net-GJ-EL,250,2259,916.0
18,net_net-EL-CJ,50,94,934.4000000000001
18,net_net-EL-CJ,100,402,934.4000000000001
18,net_net-EL-CJ,150,1310,934.4000000000001
18,net_net-EL-CJ,200,270,934.4000000000001
18,net_net-EL-CJ,250,2596,934.4000000000001
7,lane_net-DE;2-FK,50,101,947.0
7,lane_net-DE;2-FK,100,1285,947.0
7,lane_net-DE;2-FK,150,1039,947.0
7,lane_net-DE;2-FK,200,687,947.0
7,lane_net-DE;2-FK,250,1623,947.0
5,net_net-BG-CJ,50,94,954.4000000000001
5,net_net-BG-CJ,100,712,954.4000000000001
5,net_net-BG-CJ,150,1343,954.4000000000001
5,net_net-BG-CJ,200,299,954.4000000000001
5,net_net-BG-CJ,250,2324,954.4000000000001
12,lane_net-CK;2-KM,50,105,999.6
12,lane_net-CK;2-KM,100,991,999.6
12,lane_net-CK;2-KM,150,1051,999.6
12,lane_net-CK;2-KM,200,803,999.6
12,lane_net-CK;2-KM,250,2048,999.6
13,lane_lane-CK;2-JK;2,50,95,1040.0
13,lane_lane-CK;2-JK;2,100,709,1040.0
13,lane_lane-CK;2-JK;2,150,1049,1040.0
13,lane_lane-CK;2-JK;2,200,763,1040.0
13,lane_lane-CK;2-JK;2,250,2584,1040.0
3,net_net-GL-FK,50,99,1048.6000000000001
3,net_net-GL-FK,100,991,1048.6000000000001
3,net_net-GL-FK,150,1616,1048.6000000000001
3,net_net-GL-FK,200,746,1048.6000000000001
3,net_net-GL-FK,250,1791,1048.6000000000001
9,lane_net-FL;2-BG,50,96,1050.4
9,lane_net-FL;2-BG,100,977,1050.4
9,lane_net-FL;2-BG,150,1307,1050.4
9,lane_net-FL;2-BG,200,780,1050.4
9,lane_net-FL;2-BG,250,2092,1050.4
11,net_net-GJ-GJ,50,94,1053.6
11,net_net-GJ-GJ,100,719,1053.6
11,net_net-GJ-GJ,150,1058,1053.6
11,net_net-GJ-GJ,200,770,1053.6
11,net_net-GJ-GJ,250,2627,1053.6
