ID,Configuracao,Qnt. Veiculos,Custo Individual,Custo Medio
14,lane_net-AB;2-FJ,50,95,319.6
14,lane_net-AB;2-FJ,100,413,319.6
14,lane_net-AB;2-FJ,150,220,319.6
14,lane_net-AB;2-FJ,200,288,319.6
14,lane_net-AB;2-FJ,250,582,319.6
16,lane_lane-GF;2-JK;2,50,99,395.4
16,lane_lane-GF;2-JK;2,100,170,395.4
16,lane_lane-GF;2-JK;2,150,216,395.4
16,lane_lane-GF;2-JK;2,200,857,395.4
16,lane_lane-GF;2-JK;2,250,635,395.4
2,lane_net-AD;2-FJ,50,90,420.4
2,lane_net-AD;2-FJ,100,428,420.4
2,lane_net-AD;2-FJ,150,212,420.4
2,lane_net-AD;2-FJ,200,528,420.4
2,lane_net-AD;2-FJ,250,844,420.4
5,lane_net-FI;2-FJ,50,98,430.2
5,lane_net-FI;2-FJ,100,442,430.2
5,lane_net-FI;2-FJ,150,247,430.2
5,lane_net-FI;2-FJ,200,524,430.2
5,lane_net-FI;2-FJ,250,840,430.2
4,lane_net-GF;2-FJ,50,99,449.79999999999995
4,lane_net-GF;2-FJ,100,170,449.79999999999995
4,lane_net-GF;2-FJ,150,478,449.79999999999995
4,lane_net-GF;2-FJ,200,536,449.79999999999995
4,lane_net-GF;2-FJ,250,966,449.79999999999995
6,lane_lane-KM;2-DC;2,50,95,483.6
6,lane_lane-KM;2-DC;2,100,448,483.6
6,lane_lane-KM;2-DC;2,150,466,483.6
6,lane_lane-KM;2-DC;2,200,779,483.6
6,lane_lane-KM;2-DC;2,250,630,483.6
9,lane_net-GD;2-GI,50,101,484.8
9,lane_net-GD;2-GI,100,421,484.8
9,lane_net-GD;2-GI,150,482,484.8
9,lane_net-GD;2-GI,200,556,484.8
9,lane_net-GD;2-GI,250,864,484.8
8,lane_lane-AD;2-AD;2,50,90,486.00000000000006
8,lane_lane-AD;2-AD;2,100,452,486.00000000000006
8,lane_lane-AD;2-AD;2,150,447,486.00000000000006
8,lane_lane-AD;2-AD;2,200,477,486.00000000000006
8,lane_lane-AD;2-AD;2,250,964,486.00000000000006
12,lane_lane-JG;2-KH;2,50,96,497.0
12,lane_lane-JG;2-KH;2,100,172,497.0
12,lane_lane-JG;2-KH;2,150,513,497.0
12,lane_lane-JG;2-KH;2,200,834,497.0
12,lane_lane-JG;2-KH;2,250,870,497.0
10,lane_lane-LI;2-JK;2,50,91,497.79999999999995
10,lane_lane-LI;2-JK;2,100,431,497.79999999999995
10,lane_lane-LI;2-JK;2,150,234,497.79999999999995
10,lane_lane-LI;2-JK;2,200,840,497.79999999999995
10,lane_lane-LI;2-JK;2,250,893,497.79999999999995
11,lane_lane-HE;2-LI;2,50,96,499.20000000000005
11,lane_lane-HE;2-LI;2,100,431,499.20000000000005
11,lane_lane-HE;2-LI;2,150,481,499.20000000000005
11,lane_lane-HE;2-LI;2,200,543,499.20000000000005
11,lane_lane-HE;2-LI;2,250,945,499.20000000000005
18,lane_net-JL;2-GI,50,97,499.4
18,lane_net-JL;2-GI,100,419,499.4
18,lane_net-JL;2-GI,150,484,499.4
18,lane_net-JL;2-GI,200,804,499.4
18,lane_net-JL;2-GI,250,693,499.4
20,lane_net-JL;2-GI,50,97,499.4
20,lane_net-JL;2-GI,100,419,499.4
20,lane_net-JL;2-GI,150,484,499.4
20,lane_net-JL;2-GI,200,804,499.4
20,lane_net-JL;2-GI,250,693,499.4
1,lane_net-AD;2-GI,50,90,524.8
1,lane_net-AD;2-GI,100,420,524.8
1,lane_net-AD;2-GI,150,769,524.8
1,lane_net-AD;2-GI,200,528,524.8
1,lane_net-AD;2-GI,250,817,524.8
17,lane_net-JI;2-GI,50,99,526.0
17,lane_net-JI;2-GI,100,399,526.0
17,lane_net-JI;2-GI,150,485,526.0
17,lane_net-JI;2-GI,200,800,526.0
17,lane_net-JI;2-GI,250,847,526.0
19,lane_net-GD;2-FJ,50,103,540.8
19,lane_net-GD;2-FJ,100,422,540.8
19,lane_net-GD;2-FJ,150,496,540.8
19,lane_net-GD;2-FJ,200,827,540.8
19,lane_net-GD;2-FJ,250,856,540.8
15,lane_lane-EB;2-GH;2,50,92,621.0
15,lane_lane-EB;2-GH;2,100,449,621.0
15,lane_lane-EB;2-GH;2,150,475,621.0
15,lane_lane-EB;2-GH;2,200,872,621.0
15,lane_lane-EB;2-GH;2,250,1217,621.0
3,lane_net-GH;2-GI,50,96,669.0
3,lane_net-GH;2-GI,100,430,669.0
3,lane_net-GH;2-GI,150,485,669.0
3,lane_net-GH;2-GI,200,819,669.0
3,lane_net-GH;2-GI,250,1515,669.0
7,lane_lane-KG;2-AB;2,50,98,677.4
7,lane_lane-KG;2-AB;2,100,188,677.4
7,lane_lane-KG;2-AB;2,150,773,677.4
7,lane_lane-KG;2-AB;2,200,1108,677.4
7,lane_lane-KG;2-AB;2,250,1220,677.4
13,lane_net-GC;2-GI,50,103,831.0
13,lane_net-GC;2-GI,100,183,831.0
13,lane_net-GC;2-GI,150,774,831.0
13,lane_net-GC;2-GI,200,1094,831.0
13,lane_net-GC;2-GI,250,2001,831.0
