ID,Configuracao,Qnt. Veiculos,Custo Individual,Custo Medio
12,lane_lane-HE;2-CF;2,200,773.0,495.8
12,lane_lane-HE;2-CF;2,100,119.0,495.8
12,lane_lane-HE;2-CF;2,250,1047.0,495.8
12,lane_lane-HE;2-CF;2,150,452.0,495.8
12,lane_lane-HE;2-CF;2,50,88.0,495.8
15,lane_lane-AC;2-FI;2,200,758.0,502.8
15,lane_lane-AC;2-FI;2,250,844.0,502.8
15,lane_lane-AC;2-FI;2,100,378.0,502.8
15,lane_lane-AC;2-FI;2,50,75.0,502.8
15,lane_lane-AC;2-FI;2,150,459.0,502.8
20,lane_net-GI-CF;2,100,411.0,509.2
20,lane_net-GI-CF;2,150,166.0,509.2
20,lane_net-GI-CF;2,200,810.0,509.2
20,lane_net-GI-CF;2,250,1084.0,509.2
20,lane_net-GI-CF;2,50,75.0,509.2
14,lane_lane-DC;2-GD;2,250,763.0,538
14,lane_lane-DC;2-GD;2,150,678.0,538
14,lane_lane-DC;2-GD;2,200,806.0,538
14,lane_lane-DC;2-GD;2,50,76.0,538
14,lane_lane-DC;2-GD;2,100,367.0,538
3,lane_lane-GD;2-FI;2,200,821.0,544.4
3,lane_lane-GD;2-FI;2,250,770.0,544.4
3,lane_lane-GD;2-FI;2,100,353.0,544.4
3,lane_lane-GD;2-FI;2,50,345.0,544.4
3,lane_lane-GD;2-FI;2,150,433.0,544.4
18,lane_lane-HE;2-JL;2,50,82.0,547.4
18,lane_lane-HE;2-JL;2,200,995.0,547.4
18,lane_lane-HE;2-JL;2,100,129.0,547.4
18,lane_lane-HE;2-JL;2,150,434.0,547.4
18,lane_lane-HE;2-JL;2,250,1097.0,547.4
16,lane_net-GI-HE;2,250,850.0,562
16,lane_net-GI-HE;2,100,406.0,562
16,lane_net-GI-HE;2,50,81.0,562
16,lane_net-GI-HE;2,150,689.0,562
16,lane_net-GI-HE;2,200,784.0,562
13,lane_lane-AC;2-JM;2,100,414.0,570.6
13,lane_lane-AC;2-JM;2,250,858.0,570.6
13,lane_lane-AC;2-JM;2,50,69.0,570.6
13,lane_lane-AC;2-JM;2,150,454.0,570.6
13,lane_lane-AC;2-JM;2,200,1058.0,570.6
21,lane_lane-KG;2-KH;2,200,1058.0,608.6
21,lane_lane-KG;2-KH;2,50,79.0,608.6
21,lane_lane-KG;2-KH;2,150,431.0,608.6
21,lane_lane-KG;2-KH;2,100,393.0,608.6
21,lane_lane-KG;2-KH;2,250,1082.0,608.6
6,lane_lane-KM;2-EB;2,250,1353.0,629.6
6,lane_lane-KM;2-EB;2,50,83.0,629.6
6,lane_lane-KM;2-EB;2,200,1122.0,629.6
6,lane_lane-KM;2-EB;2,150,200.0,629.6
6,lane_lane-KM;2-EB;2,100,390.0,629.6
10,lane_lane-GD;2-DB;2,250,1301.0,634.2
10,lane_lane-GD;2-DB;2,50,72.0,634.2
10,lane_lane-GD;2-DB;2,100,123.0,634.2
10,lane_lane-GD;2-DB;2,150,687.0,634.2
10,lane_lane-GD;2-DB;2,200,988.0,634.2
11,lane_lane-DB;2-KM;2,50,350.0,645.4
11,lane_lane-DB;2-KM;2,250,774.0,645.4
11,lane_lane-DB;2-KM;2,200,1042.0,645.4
11,lane_lane-DB;2-KM;2,100,643.0,645.4
11,lane_lane-DB;2-KM;2,150,418.0,645.4
17,lane_lane-KG;2-JL;2,50,79.0,660.2
17,lane_lane-KG;2-JL;2,100,409.0,660.2
17,lane_lane-KG;2-JL;2,150,417.0,660.2
17,lane_lane-KG;2-JL;2,200,1305.0,660.2
17,lane_lane-KG;2-JL;2,250,1091.0,660.2
9,lane_lane-GH;2-JI;2,200,1069.0,679.8
9,lane_lane-GH;2-JI;2,150,439.0,679.8
9,lane_lane-GH;2-JI;2,50,80.0,679.8
9,lane_lane-GH;2-JI;2,100,381.0,679.8
9,lane_lane-GH;2-JI;2,250,1430.0,679.8
4,lane_net-FJ-JG;2,100,381.0,680.5
4,lane_net-FJ-JG;2,50,68.0,680.5
4,lane_net-FJ-JG;2,200,1272.0,680.5
4,lane_net-FJ-JG;2,250,1001.0,680.5
5,lane_lane-JG;2-JG;2,150,715.0,693.4
5,lane_lane-JG;2-JG;2,200,990.0,693.4
5,lane_lane-JG;2-JG;2,100,377.0,693.4
5,lane_lane-JG;2-JG;2,250,1306.0,693.4
5,lane_lane-JG;2-JG;2,50,79.0,693.4
19,lane_lane-JM;2-GC;2,200,1295.0,696.4
19,lane_lane-JM;2-GC;2,250,1067.0,696.4
19,lane_lane-JM;2-GC;2,50,77.0,696.4
19,lane_lane-JM;2-GC;2,100,379.0,696.4
19,lane_lane-JM;2-GC;2,150,664.0,696.4
8,lane_lane-GH;2-HD;2,100,676.0,748.6
8,lane_lane-GH;2-HD;2,150,740.0,748.6
8,lane_lane-GH;2-HD;2,50,72.0,748.6
8,lane_lane-GH;2-HD;2,250,1157.0,748.6
8,lane_lane-GH;2-HD;2,200,1098.0,748.6
1,lane_lane-AB;2-AD;2,250,1396.0,774.3333333333334
1,lane_lane-AB;2-AD;2,200,538.0,774.3333333333334
1,lane_lane-AB;2-AD;2,100,389.0,774.3333333333334
7,lane_net-GI-AD;2,150,708.0,781.8
7,lane_net-GI-AD;2,250,1369.0,781.8
7,lane_net-GI-AD;2,50,71.0,781.8
7,lane_net-GI-AD;2,100,682.0,781.8
7,lane_net-GI-AD;2,200,1079.0,781.8
2,lane_lane-AC;2-JG;2,200,990.0,1023
2,lane_lane-AC;2-JG;2,250,1056.0,1023
22,lane_net-FJ-GF;2,250,1341.0,1341
