ID,Configuracao,Qnt. Veiculos,Custo Individual,Custo Medio
18,lane_net-EF;2-KM,50,101.0,455.2
18,lane_net-EF;2-KM,200,740.0,455.2
18,lane_net-EF;2-KM,100,125.0,455.2
18,lane_net-EF;2-KM,150,173.0,455.2
18,lane_net-EF;2-KM,250,1137.0,455.2
26,lane_lane-EF;2-AE;2,150,180.0,465.8
26,lane_lane-EF;2-AE;2,50,94.0,465.8
26,lane_lane-EF;2-AE;2,200,504.0,465.8
26,lane_lane-EF;2-AE;2,250,1412.0,465.8
26,lane_lane-EF;2-AE;2,100,139.0,465.8
42,lane_net-EF;2-HK,200,469.0,469
41,lane_net-EF;2-BC,200,727.0,498.4
41,lane_net-EF;2-BC,150,174.0,498.4
41,lane_net-EF;2-BC,50,81.0,498.4
41,lane_net-EF;2-BC,250,1370.0,498.4
41,lane_net-EF;2-BC,100,140.0,498.4
2,lane_net-EF;2-EL,200,454.0,514.6
2,lane_net-EF;2-EL,250,1685.0,514.6
2,lane_net-EF;2-EL,100,154.0,514.6
2,lane_net-EF;2-EL,50,98.0,514.6
2,lane_net-EF;2-EL,150,182.0,514.6
24,lane_net-CJ-EI;2,50,78.0,565.2
24,lane_net-CJ-EI;2,250,1058.0,565.2
24,lane_net-CJ-EI;2,200,483.0,565.2
24,lane_net-CJ-EI;2,150,490.0,565.2
24,lane_net-CJ-EI;2,100,717.0,565.2
36,lane_lane-EF;2-JK;2,250,1672.0,572.8
36,lane_lane-EF;2-JK;2,150,184.0,572.8
36,lane_lane-EF;2-JK;2,100,163.0,572.8
36,lane_lane-EF;2-JK;2,200,749.0,572.8
36,lane_lane-EF;2-JK;2,50,96.0,572.8
31,lane_net-FG;2-FI,100,728.0,703.2
31,lane_net-FG;2-FI,50,97.0,703.2
31,lane_net-FG;2-FI,150,747.0,703.2
31,lane_net-FG;2-FI,250,1512.0,703.2
31,lane_net-FG;2-FI,200,432.0,703.2
38,lane_lane-DE;2-DI;2,50,96.0,715.8
38,lane_lane-DE;2-DI;2,200,531.0,715.8
38,lane_lane-DE;2-DI;2,100,740.0,715.8
38,lane_lane-DE;2-DI;2,150,795.0,715.8
38,lane_lane-DE;2-DI;2,250,1417.0,715.8
37,net_net-JM-EJ,200,1061.0,737.4
37,net_net-JM-EJ,150,469.0,737.4
37,net_net-JM-EJ,100,424.0,737.4
37,net_net-JM-EJ,50,83.0,737.4
37,net_net-JM-EJ,250,1650.0,737.4
7,lane_net-JM-AE;2,150,471.0,752.8
7,lane_net-JM-AE;2,250,1731.0,752.8
7,lane_net-JM-AE;2,50,95.0,752.8
7,lane_net-JM-AE;2,100,439.0,752.8
7,lane_net-JM-AE;2,200,1028.0,752.8
15,lane_net-FL;2-FI,200,457.0,788.6
15,lane_net-FL;2-FI,250,1952.0,788.6
15,lane_net-FL;2-FI,100,701.0,788.6
15,lane_net-FL;2-FI,50,93.0,788.6
15,lane_net-FL;2-FI,150,740.0,788.6
19,lane_net-AL;2-FI,200,462.0,795.4
19,lane_net-AL;2-FI,250,1694.0,795.4
19,lane_net-AL;2-FI,50,96.0,795.4
19,lane_net-AL;2-FI,100,697.0,795.4
19,lane_net-AL;2-FI,150,1028.0,795.4
10,net_net-FI-EL,250,1766.0,802.8
10,net_net-FI-EL,50,93.0,802.8
10,net_net-FI-EL,100,392.0,802.8
10,net_net-FI-EL,150,1298.0,802.8
10,net_net-FI-EL,200,465.0,802.8
40,lane_lane-FJ;2-GH;2,250,1700.0,803.4
40,lane_lane-FJ;2-GH;2,50,84.0,803.4
40,lane_lane-FJ;2-GH;2,200,760.0,803.4
40,lane_lane-FJ;2-GH;2,100,717.0,803.4
40,lane_lane-FJ;2-GH;2,150,756.0,803.4
21,lane_net-JM-DI;2,200,772.0,869.4
21,lane_net-JM-DI;2,50,97.0,869.4
21,lane_net-JM-DI;2,150,483.0,869.4
21,lane_net-JM-DI;2,100,706.0,869.4
21,lane_net-JM-DI;2,250,2289.0,869.4
22,lane_net-AD-CK;2,250,1784.0,879.4
22,lane_net-AD-CK;2,100,703.0,879.4
22,lane_net-AD-CK;2,150,777.0,879.4
22,lane_net-AD-CK;2,50,90.0,879.4
22,lane_net-AD-CK;2,200,1043.0,879.4
23,lane_net-JM-GK;2,150,1002.0,900.4
23,lane_net-JM-GK;2,100,998.0,900.4
23,lane_net-JM-GK;2,50,90.0,900.4
23,lane_net-JM-GK;2,250,1421.0,900.4
23,lane_net-JM-GK;2,200,991.0,900.4
14,lane_lane-HL;2-FJ;2,250,1958.0,904.4
14,lane_lane-HL;2-FJ;2,150,1029.0,904.4
14,lane_lane-HL;2-FJ;2,200,746.0,904.4
14,lane_lane-HL;2-FJ;2,50,86.0,904.4
14,lane_lane-HL;2-FJ;2,100,703.0,904.4
39,lane_lane-GK;2-IJ;2,200,741.0,909.6
39,lane_lane-GK;2-IJ;2,50,109.0,909.6
39,lane_lane-GK;2-IJ;2,150,1005.0,909.6
39,lane_lane-GK;2-IJ;2,100,985.0,909.6
39,lane_lane-GK;2-IJ;2,250,1708.0,909.6
28,lane_net-CJ-FL;2,250,1990.0,929.6
28,lane_net-CJ-FL;2,150,1084.0,929.6
28,lane_net-CJ-FL;2,50,89.0,929.6
28,lane_net-CJ-FL;2,100,1003.0,929.6
28,lane_net-CJ-FL;2,200,482.0,929.6
6,lane_net-BG-FG;2,250,1763.0,934.4
6,lane_net-BG-FG;2,50,95.0,934.4
6,lane_net-BG-FG;2,200,755.0,934.4
6,lane_net-BG-FG;2,150,1056.0,934.4
6,lane_net-BG-FG;2,100,1003.0,934.4
17,lane_net-KM-BK;2,50,108.0,935.4
17,lane_net-KM-BK;2,100,753.0,935.4
17,lane_net-KM-BK;2,150,768.0,935.4
17,lane_net-KM-BK;2,200,771.0,935.4
17,lane_net-KM-BK;2,250,2277.0,935.4
16,lane_net-HK-CK;2,250,2051.0,936.2
16,lane_net-HK-CK;2,100,696.0,936.2
16,lane_net-HK-CK;2,50,100.0,936.2
16,lane_net-HK-CK;2,150,776.0,936.2
16,lane_net-HK-CK;2,200,1058.0,936.2
35,lane_lane-AL;2-IM;2,200,786.0,945.2
35,lane_lane-AL;2-IM;2,250,1750.0,945.2
35,lane_lane-AL;2-IM;2,100,1018.0,945.2
35,lane_lane-AL;2-IM;2,150,1077.0,945.2
35,lane_lane-AL;2-IM;2,50,95.0,945.2
29,net_net-CJ-KM,100,1014.0,945.8
29,net_net-CJ-KM,150,1045.0,945.8
29,net_net-CJ-KM,50,94.0,945.8
29,net_net-CJ-KM,250,2082.0,945.8
29,net_net-CJ-KM,200,494.0,945.8
8,lane_lane-CM;2-JK;2,100,709.0,972.4
8,lane_lane-CM;2-JK;2,150,1037.0,972.4
8,lane_lane-CM;2-JK;2,50,98.0,972.4
8,lane_lane-CM;2-JK;2,250,2563.0,972.4
8,lane_lane-CM;2-JK;2,200,455.0,972.4
27,lane_net-GK;2-GL,250,2060.0,986
27,lane_net-GK;2-GL,50,90.0,986
27,lane_net-GK;2-GL,100,988.0,986
27,lane_net-GK;2-GL,200,478.0,986
27,lane_net-GK;2-GL,150,1314.0,986
25,lane_net-JK;2-GL,150,1072.0,998.4
