ID,Configuracao,Qnt. Veiculos,Custo Individual,Custo Medio
44,lane_lane-GC;2-KH;2,100,115.0,478
44,lane_lane-GC;2-KH;2,200,1006.0,478
44,lane_lane-GC;2-KH;2,250,1024.0,478
44,lane_lane-GC;2-KH;2,150,175.0,478
44,lane_lane-GC;2-KH;2,50,70.0,478
39,lane_lane-KH;2-KM;2,250,1143.0,481.8
39,lane_lane-KH;2-KM;2,50,75.0,481.8
39,lane_lane-KH;2-KM;2,200,688.0,481.8
39,lane_lane-KH;2-KM;2,100,119.0,481.8
39,lane_lane-KH;2-KM;2,150,384.0,481.8
36,lane_net-KH;2-FJ,50,71.0,491
36,lane_net-KH;2-FJ,150,421.0,491
36,lane_net-KH;2-FJ,200,989.0,491
36,lane_net-KH;2-FJ,250,858.0,491
36,lane_net-KH;2-FJ,100,116.0,491
12,lane_lane-HE;2-CF;2,200,773.0,495.8
12,lane_lane-HE;2-CF;2,100,119.0,495.8
12,lane_lane-HE;2-CF;2,250,1047.0,495.8
12,lane_lane-HE;2-CF;2,150,452.0,495.8
12,lane_lane-HE;2-CF;2,50,88.0,495.8
15,lane_lane-AC;2-FI;2,200,758.0,502.8
15,lane_lane-AC;2-FI;2,250,844.0,502.8
15,lane_lane-AC;2-FI;2,100,378.0,502.8
15,lane_lane-AC;2-FI;2,50,75.0,502.8
15,lane_lane-AC;2-FI;2,150,459.0,502.8
20,lane_net-GI-CF;2,100,411.0,509.2
20,lane_net-GI-CF;2,150,166.0,509.2
20,lane_net-GI-CF;2,200,810.0,509.2
20,lane_net-GI-CF;2,250,1084.0,509.2
20,lane_net-GI-CF;2,50,75.0,509.2
60,lane_lane-JL;2-CF;2,50,84.0,523.4
60,lane_lane-JL;2-CF;2,250,870.0,523.4
60,lane_lane-JL;2-CF;2,100,408.0,523.4
60,lane_lane-JL;2-CF;2,200,812.0,523.4
60,lane_lane-JL;2-CF;2,150,443.0,523.4
14,lane_lane-DC;2-GD;2,250,763.0,538
14,lane_lane-DC;2-GD;2,150,678.0,538
14,lane_lane-DC;2-GD;2,200,806.0,538
14,lane_lane-DC;2-GD;2,50,76.0,538
14,lane_lane-DC;2-GD;2,100,367.0,538
3,lane_lane-GD;2-FI;2,200,821.0,544.4
3,lane_lane-GD;2-FI;2,250,770.0,544.4
3,lane_lane-GD;2-FI;2,100,353.0,544.4
3,lane_lane-GD;2-FI;2,50,345.0,544.4
3,lane_lane-GD;2-FI;2,150,433.0,544.4
18,lane_lane-HE;2-JL;2,50,82.0,547.4
