ID,Configuracao,Qnt. Veiculos,Custo Individual,Custo Medio
66,lane_lane-DE;2-EF;2,200,486,351.2
66,lane_lane-DE;2-EF;2,100,127,351.2
66,lane_lane-DE;2-EF;2,250,864,351.2
66,lane_lane-DE;2-EF;2,50,95,351.2
66,lane_lane-DE;2-EF;2,150,184,351.2
87,lane_lane-EF;2-FG;2,150,181,397.6
87,lane_lane-EF;2-FG;2,50,104,397.6
87,lane_lane-EF;2-FG;2,250,1110,397.6
87,lane_lane-EF;2-FG;2,100,127,397.6
87,lane_lane-EF;2-FG;2,200,466,397.6
63,lane_lane-EF;2-DI;2,250,894,414.6
50,lane_lane-DI;2-EF;2,200,466,414.6
50,lane_lane-DI;2-EF;2,150,477,414.6
50,lane_lane-DI;2-EF;2,50,90,414.6
63,lane_lane-EF;2-DI;2,150,477,414.6
63,lane_lane-EF;2-DI;2,100,146,414.6
63,lane_lane-EF;2-DI;2,200,466,414.6
50,lane_lane-DI;2-EF;2,100,146,414.6
63,lane_lane-EF;2-DI;2,50,90,414.6
50,lane_lane-DI;2-EF;2,250,894,414.6
69,lane_lane-FJ;2-EF;2,100,175,418.6
69,lane_lane-FJ;2-EF;2,50,97,418.6
69,lane_lane-FJ;2-EF;2,200,458,418.6
69,lane_lane-FJ;2-EF;2,250,1113,418.6
69,lane_lane-FJ;2-EF;2,150,250,418.6
56,lane_net-EF;2-JM,150,195,426.2
56,lane_net-EF;2-JM,50,97,426.2
56,lane_net-EF;2-JM,200,473,426.2
56,lane_net-EF;2-JM,250,909,426.2
56,lane_net-EF;2-JM,100,457,426.2
71,lane_net-EF;2-AD,50,99,447.4
71,lane_net-EF;2-AD,150,698,447.4
71,lane_net-EF;2-AD,200,488,447.4
71,lane_net-EF;2-AD,100,143,447.4
71,lane_net-EF;2-AD,250,809,447.4
85,lane_net-EF;2-EL,100,142,448.8
49,lane_net-EF;2-EL,150,184,448.8
49,lane_net-EF;2-EL,100,142,448.8
59,lane_net-EF;2-EL,200,453,448.8
85,lane_net-EF;2-EL,150,184,448.8
49,lane_net-EF;2-EL,200,453,448.8
59,lane_net-EF;2-EL,250,1367,448.8
54,lane_net-EF;2-EL,150,184,448.8
54,lane_net-EF;2-EL,100,142,448.8
59,lane_net-EF;2-EL,100,142,448.8
40,lane_net-EF;2-EL,50,98,448.8
85,lane_net-EF;2-EL,50,98,448.8
40,lane_net-EF;2-EL,200,453,448.8
54,lane_net-EF;2-EL,200,453,448.8
85,lane_net-EF;2-EL,250,1367,448.8
16,lane_net-EF;2-EL,250,1367,448.8
59,lane_net-EF;2-EL,150,184,448.8
40,lane_net-EF;2-EL,150,184,448.8
54,lane_net-EF;2-EL,50,98,448.8
16,lane_net-EF;2-EL,50,98,448.8
49,lane_net-EF;2-EL,250,1367,448.8
16,lane_net-EF;2-EL,200,453,448.8
85,lane_net-EF;2-EL,200,453,448.8
40,lane_net-EF;2-EL,250,1367,448.8
40,lane_net-EF;2-EL,100,142,448.8
54,lane_net-EF;2-EL,250,1367,448.8
59,lane_net-EF;2-EL,50,98,448.8
16,lane_net-EF;2-EL,150,184,448.8
49,lane_net-EF;2-EL,50,98,448.8
16,lane_net-EF;2-EL,100,142,448.8
64,lane_lane-EF;2-CK;2,100,154,455.6
84,lane_lane-EF;2-CK;2,150,165,455.6
64,lane_lane-EF;2-CK;2,150,165,455.6
64,lane_lane-EF;2-CK;2,250,1393,455.6
84,lane_lane-EF;2-CK;2,50,88,455.6
64,lane_lane-EF;2-CK;2,50,88,455.6
84,lane_lane-EF;2-CK;2,200,478,455.6
84,lane_lane-EF;2-CK;2,250,1393,455.6
64,lane_lane-EF;2-CK;2,200,478,455.6
84,lane_lane-EF;2-CK;2,100,154,455.6
91,lane_lane-EF;2-EF;2,200,462,458.2
90,lane_lane-EF;2-EF;2,50,90,458.2
90,lane_lane-EF;2-EF;2,100,133,458.2
78,lane_lane-EF;2-EF;2,150,453,458.2
91,lane_lane-EF;2-EF;2,150,453,458.2
78,lane_lane-EF;2-EF;2,100,133,458.2
91,lane_lane-EF;2-EF;2,250,1153,458.2
95,lane_lane-EF;2-EF;2,200,462,458.2
95,lane_lane-EF;2-EF;2,150,453,458.2
95,lane_lane-EF;2-EF;2,50,90,458.2
95,lane_lane-EF;2-EF;2,250,1153,458.2
38,lane_lane-EF;2-EF;2,50,90,458.2
89,lane_lane-EF;2-EF;2,50,90,458.2
90,lane_lane-EF;2-EF;2,150,453,458.2
95,lane_lane-EF;2-EF;2,100,133,458.2
89,lane_lane-EF;2-EF;2,250,1153,458.2
89,lane_lane-EF;2-EF;2,200,462,458.2
38,lane_lane-EF;2-EF;2,100,133,458.2
90,lane_lane-EF;2-EF;2,250,1153,458.2
78,lane_lane-EF;2-EF;2,250,1153,458.2
38,lane_lane-EF;2-EF;2,150,453,458.2
78,lane_lane-EF;2-EF;2,200,462,458.2
91,lane_lane-EF;2-EF;2,50,90,458.2
89,lane_lane-EF;2-EF;2,150,453,458.2
90,lane_lane-EF;2-EF;2,200,462,458.2
78,lane_lane-EF;2-EF;2,50,90,458.2
91,lane_lane-EF;2-EF;2,100,133,458.2
38,lane_lane-EF;2-EF;2,200,462,458.2
89,lane_lane-EF;2-EF;2,100,133,458.2
38,lane_lane-EF;2-EF;2,250,1153,458.2
41,lane_net-EF;2-BG,150,188,468.8
41,lane_net-EF;2-BG,100,134,468.8
41,lane_net-EF;2-BG,250,1461,468.8
41,lane_net-EF;2-BG,50,93,468.8
41,lane_net-EF;2-BG,200,468,468.8
79,lane_lane-EF;2-HL;2,200,474,505.4
79,lane_lane-EF;2-HL;2,250,1373,505.4
79,lane_lane-EF;2-HL;2,150,429,505.4
79,lane_lane-EF;2-HL;2,50,95,505.4
79,lane_lane-EF;2-HL;2,100,156,505.4
23,lane_lane-JK;2-EF;2,200,749,515.6
23,lane_lane-JK;2-EF;2,100,163,515.6
23,lane_lane-JK;2-EF;2,50,97,515.6
23,lane_lane-JK;2-EF;2,250,1386,515.6
23,lane_lane-JK;2-EF;2,150,183,515.6
62,lane_lane-BK;2-EF;2,200,489,521.4
62,lane_lane-BK;2-EF;2,50,95,521.4
62,lane_lane-BK;2-EF;2,250,1413,521.4
62,lane_lane-BK;2-EF;2,150,451,521.4
62,lane_lane-BK;2-EF;2,100,159,521.4
68,lane_lane-EI;2-EF;2,100,157,525.0
68,lane_lane-EI;2-EF;2,50,92,525.0
68,lane_lane-EI;2-EF;2,250,1678,525.0
68,lane_lane-EI;2-EF;2,150,470,525.0
68,lane_lane-EI;2-EF;2,200,228,525.0
33,lane_lane-EF;2-GH;2,50,93,583.4
33,lane_lane-EF;2-GH;2,100,136,583.4
33,lane_lane-EF;2-GH;2,150,438,583.4
33,lane_lane-EF;2-GH;2,200,467,583.4
33,lane_lane-EF;2-GH;2,250,1783,583.4
46,lane_net-EF;2-AF,150,729,619.8
