ID,Configuracao,Qnt. Veiculos,Custo Individual,Custo Medio
10,lane_lane-GD;2-LI;2,250,769,493.8
10,lane_lane-GD;2-LI;2,50,87,493.8
10,lane_lane-GD;2-LI;2,100,354,493.8
10,lane_lane-GD;2-LI;2,200,799,493.8
10,lane_lane-GD;2-LI;2,150,460,493.8
11,net_net-FJ-FJ,200,759,497.0
9,net_net-FJ-FJ,250,850,497.0
16,net_net-FJ-FJ,200,759,497.0
8,net_net-FJ-FJ,250,850,497.0
11,net_net-FJ-FJ,250,850,497.0
9,net_net-FJ-FJ,200,759,497.0
8,net_net-FJ-FJ,100,116,497.0
9,net_net-FJ-FJ,150,672,497.0
9,net_net-FJ-FJ,50,88,497.0
11,net_net-FJ-FJ,50,88,497.0
8,net_net-FJ-FJ,150,672,497.0
8,net_net-FJ-FJ,200,759,497.0
16,net_net-FJ-FJ,50,88,497.0
16,net_net-FJ-FJ,150,672,497.0
11,net_net-FJ-FJ,100,116,497.0
16,net_net-FJ-FJ,250,850,497.0
11,net_net-FJ-FJ,150,672,497.0
16,net_net-FJ-FJ,100,116,497.0
8,net_net-FJ-FJ,50,88,497.0
9,net_net-FJ-FJ,100,116,497.0
14,lane_lane-EB;2-LI;2,150,442,522.2
28,lane_lane-EB;2-LI;2,100,116,522.2
28,lane_lane-EB;2-LI;2,200,812,522.2
28,lane_lane-EB;2-LI;2,50,76,522.2
28,lane_lane-EB;2-LI;2,150,442,522.2
14,lane_lane-EB;2-LI;2,250,1165,522.2
14,lane_lane-EB;2-LI;2,100,116,522.2
14,lane_lane-EB;2-LI;2,50,76,522.2
14,lane_lane-EB;2-LI;2,200,812,522.2
28,lane_lane-EB;2-LI;2,250,1165,522.2
31,lane_net-GH;2-FJ,200,1089,549.2
31,lane_net-GH;2-FJ,250,748,549.2
31,lane_net-GH;2-FJ,100,380,549.2
31,lane_net-GH;2-FJ,50,80,549.2
31,lane_net-GH;2-FJ,150,449,549.2
24,lane_net-GH;2-FJ,250,748,549.2
24,lane_net-GH;2-FJ,200,1089,549.2
24,lane_net-GH;2-FJ,150,449,549.2
24,lane_net-GH;2-FJ,100,380,549.2
24,lane_net-GH;2-FJ,50,80,549.2
15,lane_net-KM;2-FJ,50,83,558.2
30,lane_net-KM;2-FJ,50,83,558.2
30,lane_net-KM;2-FJ,250,1134,558.2
30,lane_net-KM;2-FJ,150,428,558.2
15,lane_net-KM;2-FJ,250,1134,558.2
30,lane_net-KM;2-FJ,200,747,558.2
15,lane_net-KM;2-FJ,150,428,558.2
15,lane_net-KM;2-FJ,100,399,558.2
15,lane_net-KM;2-FJ,200,747,558.2
30,lane_net-KM;2-FJ,100,399,558.2
19,lane_net-DB;2-GI,50,333,586.4
19,lane_net-DB;2-GI,100,641,586.4
19,lane_net-DB;2-GI,200,746,586.4
19,lane_net-DB;2-GI,150,432,586.4
19,lane_net-DB;2-GI,250,780,586.4
4,lane_lane-DB;2-LI;2,150,431,588.4
4,lane_lane-DB;2-LI;2,100,642,588.4
4,lane_lane-DB;2-LI;2,250,816,588.4
4,lane_lane-DB;2-LI;2,50,334,588.4
4,lane_lane-DB;2-LI;2,200,719,588.4
29,lane_net-GC;2-FJ,100,388,592.0
18,lane_net-GC;2-FJ,250,1337,592.0
27,lane_net-GC;2-FJ,250,1337,592.0
2,lane_net-GC;2-FJ,50,73,592.0
27,lane_net-GC;2-FJ,50,73,592.0
27,lane_net-GC;2-FJ,100,388,592.0
29,lane_net-GC;2-FJ,250,1337,592.0
1,lane_net-GC;2-FJ,50,73,592.0
