ID,Configuracao,Qnt. Veiculos,Custo Individual,Custo Medio
22,net_net-HK-EL,100,167,226.6
31,net_net-EL-HK,250,359,226.6
31,net_net-EL-HK,150,224,226.6
31,net_net-EL-HK,200,280,226.6
31,net_net-EL-HK,50,103,226.6
31,net_net-EL-HK,100,167,226.6
22,net_net-HK-EL,50,103,226.6
22,net_net-HK-EL,200,280,226.6
22,net_net-HK-EL,250,359,226.6
22,net_net-HK-EL,150,224,226.6
11,lane_net-FG;2-EJ,200,269,280.8
11,lane_net-FG;2-EJ,150,246,280.8
11,lane_net-FG;2-EJ,100,187,280.8
11,lane_net-FG;2-EJ,250,589,280.8
11,lane_net-FG;2-EJ,50,113,280.8
24,lane_net-HL;2-EL,200,257,281.8
24,lane_net-HL;2-EL,150,241,281.8
24,lane_net-HL;2-EL,50,109,281.8
24,lane_net-HL;2-EL,250,641,281.8
24,lane_net-HL;2-EL,100,161,281.8
30,net_net-EL-AD,100,168,283.2
30,net_net-EL-AD,250,659,283.2
30,net_net-EL-AD,150,212,283.2
30,net_net-EL-AD,200,275,283.2
30,net_net-EL-AD,50,102,283.2
28,lane_net-EI;2-EL,100,179,286.8
28,lane_net-EI;2-EL,150,232,286.8
16,lane_net-EI;2-EL,50,103,286.8
28,lane_net-EI;2-EL,250,649,286.8
16,lane_net-EI;2-EL,200,271,286.8
28,lane_net-EI;2-EL,50,103,286.8
16,lane_net-EI;2-EL,150,232,286.8
28,lane_net-EI;2-EL,200,271,286.8
16,lane_net-EI;2-EL,100,179,286.8
16,lane_net-EI;2-EL,250,649,286.8
25,lane_net-CK;2-AF,250,673,298.8
25,lane_net-CK;2-AF,150,250,298.8
25,lane_net-CK;2-AF,50,119,298.8
25,lane_net-CK;2-AF,100,182,298.8
25,lane_net-CK;2-AF,200,270,298.8
6,lane_lane-EI;2-GH;2,100,170,303.4
6,lane_lane-EI;2-GH;2,50,116,303.4
6,lane_lane-EI;2-GH;2,250,705,303.4
6,lane_lane-EI;2-GH;2,200,283,303.4
6,lane_lane-EI;2-GH;2,150,243,303.4
29,net_net-AF-AD,250,902,331.6
8,net_net-AF-AD,100,175,331.6
8,net_net-AF-AD,50,99,331.6
8,net_net-AF-AD,200,261,331.6
29,net_net-AF-AD,150,221,331.6
8,net_net-AF-AD,250,902,331.6
8,net_net-AF-AD,150,221,331.6
29,net_net-AF-AD,200,261,331.6
29,net_net-AF-AD,100,175,331.6
29,net_net-AF-AD,50,99,331.6
23,lane_net-BH;2-EL,100,164,334.4
23,lane_net-BH;2-EL,200,267,334.4
23,lane_net-BH;2-EL,250,888,334.4
23,lane_net-BH;2-EL,150,246,334.4
23,lane_net-BH;2-EL,50,107,334.4
17,net_net-GJ-AD,100,174,338.2
17,net_net-GJ-AD,50,105,338.2
17,net_net-GJ-AD,150,259,338.2
17,net_net-GJ-AD,250,886,338.2
17,net_net-GJ-AD,200,267,338.2
7,lane_lane-CK;2-EI;2,50,110,346.6
7,lane_lane-CK;2-EI;2,250,653,346.6
2,lane_lane-CK;2-EI;2,250,653,346.6
7,lane_lane-CK;2-EI;2,150,528,346.6
2,lane_lane-CK;2-EI;2,100,172,346.6
7,lane_lane-CK;2-EI;2,100,172,346.6
2,lane_lane-CK;2-EI;2,200,270,346.6
2,lane_lane-CK;2-EI;2,150,528,346.6
7,lane_lane-CK;2-EI;2,200,270,346.6
2,lane_lane-CK;2-EI;2,50,110,346.6
10,lane_lane-IJ;2-EF;2,200,295,352.6
10,lane_lane-IJ;2-EF;2,150,227,352.6
10,lane_lane-IJ;2-EF;2,50,120,352.6
10,lane_lane-IJ;2-EF;2,250,952,352.6
10,lane_lane-IJ;2-EF;2,100,169,352.6
3,lane_net-DE;2-BC,200,257,463.2
3,lane_net-DE;2-BC,150,543,463.2
3,lane_net-DE;2-BC,100,467,463.2
3,lane_net-DE;2-BC,50,110,463.2
3,lane_net-DE;2-BC,250,939,463.2
19,lane_net-BK;2-FI,50,111,498.4
19,lane_net-BK;2-FI,250,1190,498.4
19,lane_net-BK;2-FI,100,453,498.4
19,lane_net-BK;2-FI,200,255,498.4
19,lane_net-BK;2-FI,150,483,498.4
4,lane_lane-EI;2-GK;2,250,1197,558.2
4,lane_lane-EI;2-GK;2,50,106,558.2
4,lane_lane-EI;2-GK;2,200,270,558.2
4,lane_lane-EI;2-GK;2,100,454,558.2
4,lane_lane-EI;2-GK;2,150,764,558.2
1,lane_lane-EI;2-BK;2,200,279,567.8
1,lane_lane-EI;2-BK;2,50,111,567.8
1,lane_lane-EI;2-BK;2,150,525,567.8
1,lane_lane-EI;2-BK;2,100,462,567.8
1,lane_lane-EI;2-BK;2,250,1462,567.8
20,lane_net-IJ;2-KM,200,296,568.6
20,lane_net-IJ;2-KM,50,117,568.6
20,lane_net-IJ;2-KM,100,452,568.6
20,lane_net-IJ;2-KM,250,1473,568.6
20,lane_net-IJ;2-KM,150,505,568.6
13,net_net-HK-BG,250,1567,596.0
13,net_net-HK-BG,50,119,596.0
13,net_net-HK-BG,100,471,596.0
13,net_net-HK-BG,200,280,596.0
13,net_net-HK-BG,150,543,596.0
