ID,Configuracao,Qnt. Veiculos,Custo Individual,Custo Medio
25,lane_net-KG;2-FJ,50,105,316.0
25,lane_net-KG;2-FJ,100,172,316.0
25,lane_net-KG;2-FJ,250,555,316.0
26,lane_net-KG;2-FJ,200,525,316.0
26,lane_net-KG;2-FJ,150,223,316.0
25,lane_net-KG;2-FJ,200,525,316.0
25,lane_net-KG;2-FJ,150,223,316.0
26,lane_net-KG;2-FJ,50,105,316.0
26,lane_net-KG;2-FJ,250,555,316.0
26,lane_net-KG;2-FJ,100,172,316.0
30,lane_lane-JM;2-FI;2,250,839,318.8
30,lane_lane-JM;2-FI;2,150,211,318.8
20,lane_lane-JM;2-FI;2,200,290,318.8
30,lane_lane-JM;2-FI;2,200,290,318.8
30,lane_lane-JM;2-FI;2,100,158,318.8
20,lane_lane-JM;2-FI;2,150,211,318.8
20,lane_lane-JM;2-FI;2,250,839,318.8
20,lane_lane-JM;2-FI;2,50,96,318.8
30,lane_lane-JM;2-FI;2,50,96,318.8
20,lane_lane-JM;2-FI;2,100,158,318.8
12,lane_lane-KH;2-FI;2,50,100,329.8
12,lane_lane-KH;2-FI;2,200,293,329.8
12,lane_lane-KH;2-FI;2,100,435,329.8
12,lane_lane-KH;2-FI;2,250,599,329.8
12,lane_lane-KH;2-FI;2,150,222,329.8
28,lane_lane-HE;2-FI;2,100,167,332.6
31,lane_lane-HE;2-FI;2,100,167,332.6
28,lane_lane-HE;2-FI;2,50,94,332.6
31,lane_lane-HE;2-FI;2,250,884,332.6
31,lane_lane-HE;2-FI;2,50,94,332.6
31,lane_lane-HE;2-FI;2,200,300,332.6
21,lane_lane-HE;2-FI;2,100,167,332.6
31,lane_lane-HE;2-FI;2,150,218,332.6
28,lane_lane-HE;2-FI;2,250,884,332.6
21,lane_lane-HE;2-FI;2,200,300,332.6
21,lane_lane-HE;2-FI;2,50,94,332.6
28,lane_lane-HE;2-FI;2,150,218,332.6
21,lane_lane-HE;2-FI;2,150,218,332.6
21,lane_lane-HE;2-FI;2,250,884,332.6
28,lane_lane-HE;2-FI;2,200,300,332.6
13,net_net-FJ-FJ,100,408,377.4
23,net_net-FJ-FJ,100,408,377.4
19,net_net-FJ-FJ,150,471,377.4
8,net_net-FJ-FJ,200,282,377.4
13,net_net-FJ-FJ,250,630,377.4
24,net_net-FJ-FJ,150,471,377.4
18,net_net-FJ-FJ,50,96,377.4
8,net_net-FJ-FJ,50,96,377.4
23,net_net-FJ-FJ,50,96,377.4
18,net_net-FJ-FJ,100,408,377.4
3,net_net-FJ-FJ,150,471,377.4
13,net_net-FJ-FJ,200,282,377.4
19,net_net-FJ-FJ,250,630,377.4
3,net_net-FJ-FJ,250,630,377.4
24,net_net-FJ-FJ,50,96,377.4
23,net_net-FJ-FJ,150,471,377.4
24,net_net-FJ-FJ,200,282,377.4
24,net_net-FJ-FJ,100,408,377.4
19,net_net-FJ-FJ,100,408,377.4
3,net_net-FJ-FJ,100,408,377.4
18,net_net-FJ-FJ,250,630,377.4
23,net_net-FJ-FJ,200,282,377.4
18,net_net-FJ-FJ,150,471,377.4
8,net_net-FJ-FJ,250,630,377.4
23,net_net-FJ-FJ,250,630,377.4
13,net_net-FJ-FJ,50,96,377.4
24,net_net-FJ-FJ,250,630,377.4
27,net_net-FJ-FJ,150,471,377.4
8,net_net-FJ-FJ,150,471,377.4
8,net_net-FJ-FJ,100,408,377.4
19,net_net-FJ-FJ,50,96,377.4
27,net_net-FJ-FJ,200,282,377.4
27,net_net-FJ-FJ,100,408,377.4
13,net_net-FJ-FJ,150,471,377.4
3,net_net-FJ-FJ,200,282,377.4
27,net_net-FJ-FJ,250,630,377.4
3,net_net-FJ-FJ,50,96,377.4
18,net_net-FJ-FJ,200,282,377.4
19,net_net-FJ-FJ,200,282,377.4
27,net_net-FJ-FJ,50,96,377.4
9,net_net-GI-GI,100,168,389.6
9,net_net-GI-GI,50,112,389.6
9,net_net-GI-GI,150,461,389.6
9,net_net-GI-GI,250,692,389.6
9,net_net-GI-GI,200,515,389.6
11,net_net-GI-FJ,150,210,424.0
17,net_net-GI-FJ,200,533,424.0
22,net_net-FJ-GI,100,413,424.0
17,net_net-GI-FJ,50,102,424.0
5,net_net-GI-FJ,100,413,424.0
11,net_net-GI-FJ,100,413,424.0
22,net_net-FJ-GI,150,210,424.0
22,net_net-FJ-GI,200,533,424.0
5,net_net-GI-FJ,250,862,424.0
11,net_net-GI-FJ,250,862,424.0
5,net_net-GI-FJ,50,102,424.0
14,net_net-FJ-GI,150,210,424.0
17,net_net-GI-FJ,250,862,424.0
14,net_net-FJ-GI,250,862,424.0
14,net_net-FJ-GI,200,533,424.0
17,net_net-GI-FJ,100,413,424.0
17,net_net-GI-FJ,150,210,424.0
5,net_net-GI-FJ,150,210,424.0
11,net_net-GI-FJ,200,533,424.0
22,net_net-FJ-GI,250,862,424.0
14,net_net-FJ-GI,50,102,424.0
5,net_net-GI-FJ,200,533,424.0
22,net_net-FJ-GI,50,102,424.0
11,net_net-GI-FJ,50,102,424.0
14,net_net-FJ-GI,100,413,424.0
6,lane_net-HE;2-FJ,50,93,426.4
6,lane_net-HE;2-FJ,200,532,426.4
6,lane_net-HE;2-FJ,150,219,426.4
6,lane_net-HE;2-FJ,100,429,426.4
6,lane_net-HE;2-FJ,250,859,426.4
29,lane_lane-KM;2-FI;2,200,480,428.6
29,lane_lane-KM;2-FI;2,100,432,428.6
29,lane_lane-KM;2-FI;2,50,93,428.6
29,lane_lane-KM;2-FI;2,250,675,428.6
29,lane_lane-KM;2-FI;2,150,463,428.6
15,lane_lane-KG;2-JI;2,100,166,433.2
15,lane_lane-KG;2-JI;2,50,99,433.2
15,lane_lane-KG;2-JI;2,200,829,433.2
15,lane_lane-KG;2-JI;2,150,218,433.2
15,lane_lane-KG;2-JI;2,250,854,433.2
7,lane_net-DE;2-GI,250,643,438.4
7,lane_net-DE;2-GI,150,516,438.4
7,lane_net-DE;2-GI,100,398,438.4
7,lane_net-DE;2-GI,200,535,438.4
7,lane_net-DE;2-GI,50,100,438.4
4,lane_net-KH;2-FJ,50,91,481.0
4,lane_net-KH;2-FJ,150,471,481.0
4,lane_net-KH;2-FJ,250,867,481.0
4,lane_net-KH;2-FJ,100,428,481.0
4,lane_net-KH;2-FJ,200,548,481.0
1,lane_net-LI;2-GI,150,482,500.4
1,lane_net-LI;2-GI,100,701,500.4
1,lane_net-LI;2-GI,250,674,500.4
1,lane_net-LI;2-GI,50,97,500.4
1,lane_net-LI;2-GI,200,548,500.4
10,lane_lane-DE;2-HE;2,50,98,560.4
10,lane_lane-DE;2-HE;2,200,1141,560.4
10,lane_lane-DE;2-HE;2,250,882,560.4
10,lane_lane-DE;2-HE;2,100,447,560.4
10,lane_lane-DE;2-HE;2,150,234,560.4
2,lane_lane-EB;2-GD;2,250,843,586.6
2,lane_lane-EB;2-GD;2,100,424,586.6
2,lane_lane-EB;2-GD;2,150,773,586.6
2,lane_lane-EB;2-GD;2,200,798,586.6
2,lane_lane-EB;2-GD;2,50,95,586.6
16,lane_lane-JM;2-GC;2,100,176,608.0
16,lane_lane-JM;2-GC;2,150,470,608.0
16,lane_lane-JM;2-GC;2,250,923,608.0
16,lane_lane-JM;2-GC;2,50,99,608.0
16,lane_lane-JM;2-GC;2,200,1372,608.0
